experiment_id,metric_name,value,unit,ci_low,ci_high,n,model_id,method,batch,k,measurement_type,evidence_state,artifact_id
BASE-FIXED-C1-001,macro_precision,0.43464494378648144,proportion,,,,MODEL-C1,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C1-001,macro_recall,0.3741666666666666,proportion,,,,MODEL-C1,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,accuracy,0.702572347266881,proportion,,,,MODEL-C2,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_f1,0.6672518922809217,proportion,,,,MODEL-C2,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,balanced_accuracy,0.720263992462535,proportion,,,,MODEL-C2,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_precision,0.6631753512188295,proportion,,,,MODEL-C2,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_recall,0.720263992462535,proportion,,,,MODEL-C2,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,accuracy,0.723203026481715,proportion,,,,MODEL-C2,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_f1,0.6231249015128849,proportion,,,,MODEL-C2,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,balanced_accuracy,0.6611250441230873,proportion,,,,MODEL-C2,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_precision,0.6657867420821036,proportion,,,,MODEL-C2,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_recall,0.6611250441230873,proportion,,,,MODEL-C2,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,accuracy,0.6086956521739131,proportion,,,,MODEL-C2,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_f1,0.5249848695846333,proportion,,,,MODEL-C2,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,balanced_accuracy,0.5839631782945737,proportion,,,,MODEL-C2,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_precision,0.5553113553113553,proportion,,,,MODEL-C2,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_recall,0.5839631782945737,proportion,,,,MODEL-C2,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,accuracy,0.43147208121827413,proportion,,,,MODEL-C2,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_f1,0.4516625716625716,proportion,,,,MODEL-C2,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,balanced_accuracy,0.5700000000000001,proportion,,,,MODEL-C2,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_precision,0.4408759124087592,proportion,,,,MODEL-C2,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_recall,0.5700000000000001,proportion,,,,MODEL-C2,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,accuracy,0.4882608695652174,proportion,,,,MODEL-C2,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_f1,0.3803444863245436,proportion,,,,MODEL-C2,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,balanced_accuracy,0.46107591595396474,proportion,,,,MODEL-C2,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_precision,0.36192457373841624,proportion,,,,MODEL-C2,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_recall,0.46107591595396474,proportion,,,,MODEL-C2,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,accuracy,0.40409631884860225,proportion,,,,MODEL-C2,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_f1,0.3118627147913819,proportion,,,,MODEL-C2,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,balanced_accuracy,0.4348094532813413,proportion,,,,MODEL-C2,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_precision,0.26955008233843714,proportion,,,,MODEL-C2,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_recall,0.4348094532813413,proportion,,,,MODEL-C2,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,accuracy,0.24489795918367346,proportion,,,,MODEL-C2,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_f1,0.17774436090225562,proportion,,,,MODEL-C2,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,balanced_accuracy,0.3458333333333334,proportion,,,,MODEL-C2,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_precision,0.20578990901571548,proportion,,,,MODEL-C2,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_recall,0.3458333333333334,proportion,,,,MODEL-C2,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,accuracy,0.42127659574468085,proportion,,,,MODEL-C2,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_f1,0.32686397764972935,proportion,,,,MODEL-C2,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,balanced_accuracy,0.4454545454545455,proportion,,,,MODEL-C2,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_precision,0.31432161199861364,proportion,,,,MODEL-C2,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_recall,0.4454545454545455,proportion,,,,MODEL-C2,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,accuracy,0.33666666666666667,proportion,,,,MODEL-C2,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_f1,0.2609734060912498,proportion,,,,MODEL-C2,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,balanced_accuracy,0.33666666666666667,proportion,,,,MODEL-C2,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_precision,0.3509900794167116,proportion,,,,MODEL-C2,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C2-001,macro_recall,0.33666666666666667,proportion,,,,MODEL-C2,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,accuracy,0.7130225080385852,proportion,,,,MODEL-C3,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_f1,0.570004769259148,proportion,,,,MODEL-C3,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,balanced_accuracy,0.6097727607924214,proportion,,,,MODEL-C3,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_precision,0.6065846941010447,proportion,,,,MODEL-C3,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_recall,0.6097727607924214,proportion,,,,MODEL-C3,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,accuracy,0.5233291298865069,proportion,,,,MODEL-C3,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_f1,0.3299200665789677,proportion,,,,MODEL-C3,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,balanced_accuracy,0.4178234182285063,proportion,,,,MODEL-C3,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_precision,0.3946721853649153,proportion,,,,MODEL-C3,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_recall,0.3481861818570886,proportion,,,,MODEL-C3,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,accuracy,0.36024844720496896,proportion,,,,MODEL-C3,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_f1,0.23723365919110595,proportion,,,,MODEL-C3,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,balanced_accuracy,0.266327519379845,proportion,,,,MODEL-C3,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_precision,0.23196455887319462,proportion,,,,MODEL-C3,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_recall,0.266327519379845,proportion,,,,MODEL-C3,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,accuracy,0.19289340101522842,proportion,,,,MODEL-C3,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_f1,0.1787661406025825,proportion,,,,MODEL-C3,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,balanced_accuracy,0.2178571428571429,proportion,,,,MODEL-C3,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_precision,0.19768907563025212,proportion,,,,MODEL-C3,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_recall,0.2178571428571429,proportion,,,,MODEL-C3,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,accuracy,0.3165217391304348,proportion,,,,MODEL-C3,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_f1,0.16292522754345556,proportion,,,,MODEL-C3,,6,,EXECUTED,EXECUTED,ART-3F240F622273
