model_id,method,batch_a,batch_b,comparison_type,explanation_distance,input_change,model_macro_f1_change
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,2,5,ANCHOR_TO_FUTURE,0.3984325568085849,0.5845400841725072,0.3912386286565655
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,2,6,ANCHOR_TO_FUTURE,0.5073717200630331,0.0073348567084073,0.4070795417156925
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,2,7,ANCHOR_TO_FUTURE,0.4266120095262535,0.0228456481371552,0.3124621233715787
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,2,8,ANCHOR_TO_FUTURE,0.443079720353131,0.0414775442846095,0.4272884278438119
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,2,9,ANCHOR_TO_FUTURE,0.407394533890753,0.1006809200373044,0.3995671968383337
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,2,10,ANCHOR_TO_FUTURE,0.4465083769308763,0.167735917439138,0.2255916824942255
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,3,ADJACENT,0.4694339080357572,0.2418477912581544,0.1366973926696399
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,3,4,ADJACENT,0.7141977456897212,0.1751468618973872,0.1588122015748724
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,4,5,ADJACENT,0.7891833863576454,0.1675454310169655,0.0535280479291819
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,5,6,ADJACENT,0.719905789511843,0.5772052274640999,0.1530672059519176
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,6,7,ADJACENT,0.3943885385400662,0.0155107914287478,0.0001232527999129
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,7,8,ADJACENT,0.4043434955882978,0.0186318961474543,0.1298179328477418
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,8,9,ADJACENT,0.5478642721045024,0.0592033757526948,0.0046848598387057
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,9,10,ADJACENT,0.6763174790282845,0.2684168374764425,0.1832649930538588
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,3,ANCHOR_TO_FUTURE,0.4694339080357572,0.2418477912581544,0.1366973926696399
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,4,ANCHOR_TO_FUTURE,0.6450787265576534,0.4169946531555417,0.2955095942445124
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,5,ANCHOR_TO_FUTURE,0.7838474743985218,0.5845400841725072,0.2419815463153304
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,6,ANCHOR_TO_FUTURE,0.5191527942228786,0.0073348567084073,0.3950487522672481
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,7,ANCHOR_TO_FUTURE,0.4358572337954655,0.0228456481371552,0.3949254994673352
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,8,ANCHOR_TO_FUTURE,0.4519816410352917,0.0414775442846095,0.524743432315077
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,9,ANCHOR_TO_FUTURE,0.6088988374938957,0.1006809200373044,0.5294282921537827
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,10,ANCHOR_TO_FUTURE,0.4577846050818858,0.167735917439138,0.3461632990999239
