model,b2_accuracy,b10_accuracy,b2_to_b10_accuracy_drop_pp,mean_future_accuracy,mean_future_macro_f1,mean_future_balanced_accuracy,worst_batch,best_batch,complexity_value,complexity_definition,serialized_host_bytes
MODEL-C1,0.8143086816720257,0.3741666666666666,44.01420150053591,0.4749589327481742,0.3195432738827807,0.4449446463569794,8,2,768.0,coefficient count,10617
MODEL-C2,0.702572347266881,0.3366666666666666,36.59056806002143,0.4845712796832915,0.4138681312000191,0.5065769032855608,8,3,10230.0,total tree nodes,1233954
MODEL-C3,0.7130225080385852,0.4075,30.552250803858527,0.3759670980886234,0.2659955010737669,0.3473952527220975,5,2,16768.0,support-vector scalar values,151013
MODEL-C4,0.867363344051447,0.4216666666666667,44.56966773847803,0.511959936587643,0.3860456864237698,0.517767493681575,8,2,10534.0,parameter count,265817
