model_id,comparison_type,spearman,kendall_tau_b
MODEL-C1,ADJACENT,0.4205894403949356,0.30860939972135104
MODEL-C1,ANCHOR_TO_FUTURE,0.31827698442866753,0.22891558031161333
MODEL-C2,ADJACENT,0.09333843930245904,0.07216792718799214
MODEL-C2,ANCHOR_TO_FUTURE,0.10075962908389828,0.07140549130939311
MODEL-C3,ADJACENT,0.17498942221176447,0.12352232123977307
MODEL-C3,ANCHOR_TO_FUTURE,0.0260151571657662,0.017351059246144142
MODEL-C4,ADJACENT,0.06880603535765079,0.05100120345264381
MODEL-C4,ANCHOR_TO_FUTURE,0.04971965739212783,0.03501301142831967
