model_id,sensor_spearman,sensor_importance_l1_distance
MODEL-C1,0.01801470588235293,0.38025565128038497
MODEL-C2,0.4720771732202838,0.2801785235338602
MODEL-C3,0.12775735294117646,0.25870886093715184
MODEL-C4,0.16636489986811984,0.27015389529661593
