model_id,method,scope,batch,wall_time_ns
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12600
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12900
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12700
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12700
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12400
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12600
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12500
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,13900
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12900
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12800
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12500
MODEL-C1,INTRINSIC_COEFFICIENT,GLOBAL,,12800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21560700
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21487300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21736000
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21441500
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21348400
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21239800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21185200
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21362300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21218600
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21253100
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21325500
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21235500
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21219000
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21775300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21782600
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,23478900
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21898600
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21821500
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22151700
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21881800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22197100
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22340300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21989800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22070100
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22022800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21805000
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21686200
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21532400
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21935400
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21625500
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22426400
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22001000
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21768600
