model_id,median_us_per_sample,p95_us_per_sample
MODEL-C1,315.9166666666667,328.74833333333333
MODEL-C2,11171.0,11931.169999999998
MODEL-C3,342.7166666666667,359.75833333333327
MODEL-C4,322.8833333333333,332.4266666666667
