"feature","value"
"13","0.261936194971242"
"16","0.292704797757025"
"10","0.326224634038103"
"15","0.329766825209138"
"72","0.359233596494924"
"2","0.379216570140706"
"39","0.385383784901074"
"80","0.386277428768787"
"69","0.387716412882842"
"8","0.404622731639343"
"66","0.406325082698295"
"12","0.407101758719459"
"5","0.441919325682199"
"11","0.450724585462676"
"38","0.455860715358285"
"74","0.456603537190781"
"47","0.460983768675412"
"7","0.48303689008196"
"18","0.497454649099172"
"14","0.504265703543245"
