feature,value
101,2.5293222377561553
64,2.173623414045967
37,2.1576489311633362
42,2.138455736972184
109,1.986693603912705
32,1.932365301965883
100,1.8516959037937977
128,1.8350096423982523
120,1.831831208378892
56,1.723157772906927
104,1.5921915416350765
125,1.5849137147972037
96,1.5789304883830997
61,1.5707311738496366
112,1.570291123507565
88,1.5687534994992576
108,1.5611472539876794
117,1.5442691508586208
60,1.5416381364555418
24,1.5282187899461548
