model_id,comparison_type,jaccard_at_5,jaccard_at_10,jaccard_at_20
MODEL-C1,ADJACENT,0.11607142857142856,0.1298076923076923,0.18191686569637905
MODEL-C1,ANCHOR_TO_FUTURE,0.04513888888888889,0.10108604845446949,0.17601654999567884
MODEL-C2,ADJACENT,0.07291666666666666,0.17436821219715956,0.19738445242477498
MODEL-C2,ANCHOR_TO_FUTURE,0.0763888888888889,0.13468567251461988,0.1582368489389362
MODEL-C3,ADJACENT,0.10416666666666666,0.24091880341880342,0.1981850046959155
MODEL-C3,ANCHOR_TO_FUTURE,0.07291666666666666,0.13243894048847607,0.15385007018071534
MODEL-C4,ADJACENT,0.09871031746031744,0.0737766597867217,0.14379956581968964
MODEL-C4,ANCHOR_TO_FUTURE,0.07291666666666666,0.09163226694186445,0.1379311504118005
