experiment_id,model,protocol,test_batch,accuracy_iid,macro_f1_iid,balanced_accuracy_iid,macro_precision,macro_recall,accuracy_fixed_mean,macro_f1_fixed_mean,balanced_accuracy_fixed_mean
BASE-IID-C1-001,MODEL-C1,IID_DIAGNOSTIC_ONLY,IID,0.9938892882818117,0.9938212722665191,0.9937729867589679,0.9938787978156532,0.9937729867589679,0.4749589327481742,0.3195432738827807,0.44494464635697945
BASE-IID-C2-001,MODEL-C2,IID_DIAGNOSTIC_ONLY,IID,0.9953271028037384,0.9953327049075584,0.9947543648247366,0.9959345708417078,0.9947543648247366,0.4845712796832915,0.4138681312000191,0.5065769032855608
BASE-IID-C3-001,MODEL-C3,IID_DIAGNOSTIC_ONLY,IID,0.9938892882818117,0.9938134643044395,0.9934076246025,0.9942298125634886,0.9934076246025,0.3759670980886234,0.2659955010737669,0.34739525272209754
BASE-IID-C4-001,MODEL-C4,IID_DIAGNOSTIC_ONLY,IID,0.9938892882818117,0.9937213654445419,0.9929531196528164,0.99452077981499,0.9929531196528164,0.511959936587643,0.38604568642376985,0.5177674936815749
