experiment_id,sample_id,feature_index,reference_attribution,fused_attribution,eligible_for_mandatory_sign,sign_agreement,near_zero_diagnostic
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,48,0.0207283621461026,0.0207283609,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,49,-0.1269464048462632,-0.126946405,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,50,-0.1989382565969726,-0.19893828,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,51,-0.0410423838467008,-0.0410423875,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,52,-0.2019504134451462,-0.201950416,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,53,-0.172552863266216,-0.172552854,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,54,-0.2902789616125952,-0.290278941,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,55,-0.2111889485946292,-0.211188957,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,56,-0.0729539373016993,-0.072953932,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,57,-0.0569321479362346,-0.0569321439,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,58,-0.0940306547313089,-0.0940306634,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,59,0.0055242036937606,0.00552420365,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,60,-0.180929513693798,-0.180929512,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,61,-0.1438979360873505,-0.143897936,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,62,-0.255056373805416,-0.255056381,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,63,-0.1925203530680151,-0.192520365,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,64,-0.0257787809927795,-0.0257787779,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,65,0.147456821536285,0.147456825,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,66,0.1761046485870769,0.17610465,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,67,0.1678455814658974,0.167845562,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,68,0.1729600780843751,0.172960088,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,69,0.13777787014721,0.137777865,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,70,0.0985388131982063,0.0985388085,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,71,0.1048893365333031,0.104889333,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,72,0.1533708568813259,0.153370872,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,73,0.0783857679172972,0.0783857703,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,74,0.1238340569116196,0.123834051,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,75,0.1074315435253772,0.107431546,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,76,0.0944769571400676,0.0944769606,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,77,0.0891472135174471,0.0891472101,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,78,-0.0099605485157294,-0.00996054895,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,79,-0.0013556386650056,-0.00135563873,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,80,0.0908728499581235,0.090872854,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,81,0.4796065184397958,0.479606539,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,82,0.2788296844429683,0.278829694,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,83,0.1952378208509495,0.19523783,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,84,0.0239520300026214,0.0239520296,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,85,-0.0263857117548535,-0.0263857115,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,86,-0.0072482949697675,-0.00724829501,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,87,0.0139596733480225,0.0139596732,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,88,0.1550146573424091,0.155014649,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,89,0.5633994783039585,0.563399434,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,90,0.2211501531431551,0.221150145,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,91,0.2574092554596903,0.257409245,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,92,0.0778716922809445,0.0778716877,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,93,0.0158092413756372,0.0158092398,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,94,0.0259596373213781,0.0259596352,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,95,0.019563387886648,0.0195633862,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,96,-0.0518980363743077,-0.0518980399,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,97,-0.2185446019753655,-0.218544617,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,98,-0.479740115970341,-0.479740113,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,99,-0.1404244700287959,-0.14042449,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,100,-0.4086167988103365,-0.408616751,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,101,-0.2755050297915973,-0.275505036,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,102,-0.0753336146605612,-0.0753336176,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,103,-0.0737914833974484,-0.0737914816,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,104,0.0825278587391605,0.0825278684,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,105,-0.3833873864514502,-0.383387387,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,106,-0.6721670396847372,-0.672167003,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,107,-0.3067858459741138,-0.306785882,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,108,-0.4781580718978728,-0.478158116,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,109,-0.2346534096389572,-0.234653413,True,True,False
