experiment_id,artifact_path,sha256,expected_sha256,verification_status
EXP-EMBED-FP32-EQUIV-001,artifacts/models/BASE-FIXED-C1-001.joblib,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,VERIFIED
EXP-EMBED-FP32-EQUIV-001,artifacts/models/BASE-FIXED-C4-001.joblib,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,VERIFIED
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage13_input_manifest.csv,d5732d8d98eb30dfeecd7b0da7686414c2fb942b78e8f19c416a475c4179677c,d5732d8d98eb30dfeecd7b0da7686414c2fb942b78e8f19c416a475c4179677c,VERIFIED
EXP-EMBED-FP32-EQUIV-001,embedded/preprocessing_spec.yaml,ca634f74d2e01a114ffb755129258b7793406c6c4f4e3f9eeb91aca40cefb2ce,ca634f74d2e01a114ffb755129258b7793406c6c4f4e3f9eeb91aca40cefb2ce,VERIFIED
EXP-EMBED-FP32-EQUIV-001,configs/embedded_equivalence_protocol.yaml,bd78b543749692a99e017b0561c775986b499125da1993ce8435979580357999,bd78b543749692a99e017b0561c775986b499125da1993ce8435979580357999,VERIFIED
EXP-EMBED-FP32-EQUIV-001,data/manifests/embedded_golden_vectors.csv,0ec60d9b1ba7537ae8cb84df351554a60f2e920865f063ff53479057ffd5953b,0ec60d9b1ba7537ae8cb84df351554a60f2e920865f063ff53479057ffd5953b,VERIFIED
EXP-EMBED-FP32-EQUIV-001,data/manifests/embedded_boundary_vectors.csv,346ae928c7e1f9296a04dd59a86cda6c431a7df2e7254bebdc6bc57f1607fbd4,346ae928c7e1f9296a04dd59a86cda6c431a7df2e7254bebdc6bc57f1607fbd4,VERIFIED
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage13_candidate_matrix.csv,8d431d983ec5b06d74760987a63896bb42507a6e978dc465e3271714d5ecc810,8d431d983ec5b06d74760987a63896bb42507a6e978dc465e3271714d5ecc810,VERIFIED
EXP-EMBED-FP32-EQUIV-001,MODEL-C1:frozen_scaler_constants,7b4271494d7d8cc337ce6e044db79caf71ff74d3f752ece1ddcaa0e0888a4456,7b4271494d7d8cc337ce6e044db79caf71ff74d3f752ece1ddcaa0e0888a4456,VERIFIED
EXP-EMBED-FP32-EQUIV-001,MODEL-C4:frozen_scaler_constants,7b4271494d7d8cc337ce6e044db79caf71ff74d3f752ece1ddcaa0e0888a4456,7b4271494d7d8cc337ce6e044db79caf71ff74d3f752ece1ddcaa0e0888a4456,VERIFIED
