experiment_id,sample_id,sensor_id,reference_contribution,fused_contribution,absolute_error,evidence_type,reference_rank,fused_rank,rank_agreement
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,13,-0.7522436815203541,-0.7522436704,1.1120354193039361e-08,DERIVED_SENSOR_GROUP_VIEW,8.0,8.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,14,-0.9617438754358129,-0.96174392,4.456418711829002e-08,DERIVED_SENSOR_GROUP_VIEW,3.0,3.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,15,-0.2312760946633308,-0.2312760728,2.1863330784688273e-08,DERIVED_SENSOR_GROUP_VIEW,15.0,15.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,16,-0.45878363503118397,-0.45878362224,1.2791183945370932e-08,DERIVED_SENSOR_GROUP_VIEW,12.0,12.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,1,1.4044311280453108,1.4044311570999999,2.905468909908393e-08,DERIVED_SENSOR_GROUP_VIEW,11.0,11.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,2,1.5478627211573948,1.5478627154,5.757394783145742e-09,DERIVED_SENSOR_GROUP_VIEW,8.0,8.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,3,2.344251194118095,2.3442511398,5.43180949108546e-08,DERIVED_SENSOR_GROUP_VIEW,1.0,1.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,4,2.113431842167658,2.11343183247,9.69765823199964e-09,DERIVED_SENSOR_GROUP_VIEW,2.0,2.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,5,-0.04204184556758986,-0.04204198213999999,1.365724101309862e-07,DERIVED_SENSOR_GROUP_VIEW,16.0,16.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,6,-0.2933507583232956,-0.29335079271000003,3.438670442834635e-08,DERIVED_SENSOR_GROUP_VIEW,14.0,14.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,7,1.6302563255114877,1.6302562896,3.5911487783479856e-08,DERIVED_SENSOR_GROUP_VIEW,5.0,5.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,8,1.617085533084283,1.6170855641000002,3.1015717105731255e-08,DERIVED_SENSOR_GROUP_VIEW,7.0,7.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,9,1.6197688408880921,1.6197688809,4.0011907787018686e-08,DERIVED_SENSOR_GROUP_VIEW,6.0,6.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,10,1.7710420380913652,1.7710420259,1.2191365250657782e-08,DERIVED_SENSOR_GROUP_VIEW,4.0,4.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,11,1.8954592373316963,1.8954591906,4.6731696290436275e-08,DERIVED_SENSOR_GROUP_VIEW,3.0,3.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,12,1.0207252178979762,1.0207252027,1.5197976210856723e-08,DERIVED_SENSOR_GROUP_VIEW,12.0,12.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,13,-0.4020482145887,-0.40204825762999996,4.304129996857142e-08,DERIVED_SENSOR_GROUP_VIEW,13.0,13.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,14,-0.12763483661246328,-0.1276348357,9.124632716073222e-10,DERIVED_SENSOR_GROUP_VIEW,15.0,15.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,15,1.4750548107534502,1.475054648687,1.620664502599567e-07,DERIVED_SENSOR_GROUP_VIEW,9.0,9.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,16,1.4236896681684015,1.4236896665,1.6684014170209593e-09,DERIVED_SENSOR_GROUP_VIEW,10.0,10.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,1,1.3577558586500178,1.357755881,2.234998230932206e-08,DERIVED_SENSOR_GROUP_VIEW,11.0,11.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,2,1.4860037860234925,1.4860038232,3.717650742807166e-08,DERIVED_SENSOR_GROUP_VIEW,10.0,10.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,3,3.0706166386780387,3.0706167855,1.468219612554833e-07,DERIVED_SENSOR_GROUP_VIEW,1.0,1.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,4,2.7599617568927943,2.75996176008,3.187205610544197e-09,DERIVED_SENSOR_GROUP_VIEW,2.0,2.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,5,-0.30738339166025286,-0.3073835296,1.3793974712461576e-07,DERIVED_SENSOR_GROUP_VIEW,16.0,16.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,6,-0.5521000577296207,-0.5521001025600001,4.4830379408722365e-08,DERIVED_SENSOR_GROUP_VIEW,14.0,14.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,7,2.0929970547043952,2.0929971421999998,8.749560453935601e-08,DERIVED_SENSOR_GROUP_VIEW,4.0,4.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,8,2.0319044054100033,2.0319044021,3.310003382495097e-09,DERIVED_SENSOR_GROUP_VIEW,5.0,5.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,9,1.584515491351266,1.5845155334999999,4.2148733836455676e-08,DERIVED_SENSOR_GROUP_VIEW,9.0,9.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,10,1.7537515313786578,1.7537514708000002,6.057865764574899e-08,DERIVED_SENSOR_GROUP_VIEW,8.0,8.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,11,2.447024188441808,2.4470240685,1.1994180759700157e-07,DERIVED_SENSOR_GROUP_VIEW,3.0,3.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,12,1.3177573869609212,1.3177573635000002,2.3460920983708888e-08,DERIVED_SENSOR_GROUP_VIEW,12.0,12.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,13,-0.7202350388582583,-0.7202350181000001,2.075825822345223e-08,DERIVED_SENSOR_GROUP_VIEW,13.0,13.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,14,-0.43574389508504396,-0.43574399232600003,9.72409560651144e-08,DERIVED_SENSOR_GROUP_VIEW,15.0,15.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,15,1.874548014206044,1.87454794304,7.116604394674653e-08,DERIVED_SENSOR_GROUP_VIEW,6.0,6.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,16,1.805685645095339,1.805685689,4.390466101789059e-08,DERIVED_SENSOR_GROUP_VIEW,7.0,7.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,1,0.32144710565634216,0.32144708772999997,1.7926342188445687e-08,DERIVED_SENSOR_GROUP_VIEW,14.0,14.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,2,0.8491510579988383,0.8491510903999999,3.2401161642603427e-08,DERIVED_SENSOR_GROUP_VIEW,9.0,9.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,3,0.6138437865108073,0.61384378547,1.0408073292111908e-09,DERIVED_SENSOR_GROUP_VIEW,12.0,12.0,True
