candidate_id,preprocessing_max_absolute_error,preprocessing_median_absolute_error,preprocessing_p95_absolute_error,preprocessing_max_relative_error,preprocessing_median_relative_error,preprocessing_p95_relative_error,failed_feature_rows,affected_samples,affected_features,score_max_absolute_error,probability_max_absolute_error,normalization_max_error,golden_agreement,boundary_agreement,xai_failed_rows,mandatory_pass
C1-PREPROC-P0-BASELINE,7.994910077968598e-06,3.912041790510301e-08,1.757595141760326e-07,0.0027443441751280892,5.6668633939284346e-08,4.3948384896962175e-07,41,18,38,8.314903897144177e-05,1.5100989285143918e-06,1.7650775774313843e-07,1.0,1.0,7,False
C1-PREPROC-P1-RECIPROCAL,7.994910077968598e-06,4.1542580264675166e-08,1.6731200996600303e-07,0.0027443441751280892,5.926155115417505e-08,4.412918413903586e-07,41,18,38,8.314903897144177e-05,2.0170989284973295e-06,1.5409140430300283e-07,1.0,1.0,7,False
C1-PREPROC-P2-AFFINE,7.994910077968598e-06,4.1404441764036903e-08,2.1087096385152819e-07,0.015577271087730486,5.78752261256158e-08,5.798792172576543e-07,60,21,49,8.314903897144177e-05,2.0170989284973295e-06,1.3479999994014946e-07,1.0,1.0,9,False
C1-PREPROC-P3-SPLIT_MEAN,7.994910077968598e-06,3.198361192557897e-08,1.705496528003891e-07,0.0005452612810015043,4.9194944990132414e-08,3.1455529240531157e-07,29,13,26,8.314903897144177e-05,2.0170989284973295e-06,1.3340380000670393e-07,1.0,1.0,5,False
C1-PREPROC-P4-COMPENSATED,7.994910077968598e-06,3.145259970874226e-08,1.6217589904332636e-07,0.0005451550817625133,4.893928916875038e-08,3.1213171257753194e-07,29,13,26,8.314903897144177e-05,2.0170989284973295e-06,1.1039999991968585e-07,1.0,1.0,5,False
