experiment_id,sample_id,feature_id,raw_reference_float64,raw_fp32,raw_cast_error,mean_float64,mean_fp32,mean_cast_error,scale_float64,scale_fp32,scale_cast_error,reference_x_minus_mean,fp32_x_minus_mean,subtraction_error,reference_standardized_value,fp32_standardized_value,absolute_error,relative_error,ULP_error,cancellation_indicator,raw_rounding_contribution,mean_rounding_contribution,scale_rounding_contribution,arithmetic_interaction_residual
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B2-R00473,F035,1.868879,1.868879,3.939056392177065e-08,1.839353395505618,1.8393534,4.668645958716411e-08,1.3015390447893804,1.3015391,1.866429388819313e-08,0.029525604494381907,0.029525518,8.607702350893476e-08,0.0226851469516689,0.0226850808,6.615166889961666e-08,2.9160784825663216e-06,35.51490681245923,0.015798564002475233,3.026460407631881e-08,3.587019516138046e-08,3.2530887358883653e-10,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B2-R00473,F065,5.392683,5.392683,2.917480479425194e-08,5.349224871910113,5.349225,1.7234037485991394e-07,3.9116326082044526,3.9116325,7.036265570192768e-08,0.04345812808988647,0.043457985,1.43165570065662e-07,0.0111099718308757,0.0111099351,3.6730875700372034e-08,3.3061178065540485e-06,39.439477471634746,0.008058721065170431,7.458472683213868e-09,4.405842571678087e-08,1.9984680924012288e-10,3.307687370529555e-10
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B2-R00540,F022,-5.051156,-5.051156,4.400634789902824e-08,-5.006539516853934,-5.0065393,1.7206633629029966e-07,4.402392608360524,4.4023924,2.2097038687718396e-07,-0.04461648314606581,-0.0446167,2.160726841893279e-07,-0.0101345988682007,-0.0101346485,4.9631799298871515e-08,4.897263319873572e-06,53.29173870757222,0.008832925204857227,9.996007155690934e-09,3.9084732261426836e-08,5.086884941052361e-10,4.2368978117601763e-11
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B2-R00540,F055,-7.951509,-7.951509,1.1291501067489662e-09,-8.021142388764044,-8.021142,3.8284363412799394e-07,7.154875525401663,7.1548758,2.2990839543268748e-07,0.06963338876404457,0.06963301,3.8171448402124497e-07,0.0097322991178292,0.00973224547,5.364782919986544e-08,5.512348988697303e-06,57.603917978703976,0.008681230850805802,1.5781551065963129e-10,5.350807746884456e-08,3.127289868037897e-10,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B2-R00778,F046,-1.924527,-1.924527,4.906463613174594e-08,-1.8971688876404493,-1.8971689,1.2899848744751807e-08,1.403111573157864,1.4031116,3.87613252605945e-09,-0.027358112359550768,-0.027358174,6.196448487649775e-08,-0.0194981731196031,-0.0194982179,4.4780396901006325e-08,2.2966457742641e-06,24.04129252396524,0.01421549937182007,3.496844952141642e-08,9.193744158336736e-09,5.386415272146117e-11,6.72067620305361e-10
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00000,F037,-1.02888,-1.02888,1.1444090119994144e-10,-1.0145111483146068,-1.0145111,3.991616925880237e-08,0.7373705688518672,0.73737055,1.8219390440776806e-08,-0.014368851685393258,-0.014368892,4.003061016000231e-08,-0.0194866086230787,-0.0194866639,5.5276921300667636e-08,2.8366619543639406e-06,29.67657115124166,0.013965527258177103,1.5520136217861413e-10,5.4133119712501676e-08,4.814867463065475e-10,5.071121821076385e-10
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00387,F017,7.506793,7.506793,2.2155761669750973e-08,7.506752357303372,7.5067525,1.336939421392458e-07,4.743102698719503,4.7431026,1.482129112773123e-07,4.064269662773512e-05,4.053116e-05,1.1153818046949482e-07,8.568799625339641e-06,8.54528389e-06,2.35157353396406e-08,0.0027443441751280892,25855.824441637844,5.4141224658432866e-06,4.671153689278992e-09,2.818702242634105e-08,2.6775865121582594e-13,1.3362640326392873e-13
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00387,F025,7.426066,7.426066,7.82165523460776e-08,7.406009083146064,7.406009,1.140890431017283e-07,4.337780825262105,4.337781,1.271915079925634e-07,0.02005691685393529,0.020056725,1.923055954478059e-07,0.004623773690254,0.00462372927,4.442025400026167e-08,9.606926501158735e-06,95.39176910556853,0.002700880500380052,1.8031467105029952e-08,2.6301246561742653e-08,1.3557730806079693e-10,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00387,F054,-6.547958,-6.547958,1.0281372109233189e-07,-6.430512714606746,-6.430513,1.9051410404813396e-07,5.528884025825645,5.528884,9.180464921598741e-08,-0.11744528539325483,-0.11744499,2.9332782514046585e-07,-0.0212421321996741,-0.0212420803,5.1899674100019944e-08,2.4432422137367263e-06,27.863425366580486,0.017936169626203285,1.8595745630844984e-08,3.445796711160076e-08,3.5271614101661797e-10,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00387,F073,5.287771,5.287771,2.2497558571643594e-07,5.187576476404491,5.1875763,1.8245917843273673e-07,3.854133240842415,3.8541331,1.1172254188451802e-07,0.10019452359550929,0.10019493,4.074347641491727e-07,0.0259966423925731,0.0259967484,1.060074268990907e-07,4.077735320518762e-06,56.91230395808816,0.018948347724496634,5.837255016155618e-08,4.734117043866948e-08,7.535835150340731e-10,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00387,F080,17369.9116,17369.912,0.000509375000547152,17529.824078202237,17529.824,0.00014054776329430752,11497.581800944647,11497.582,0.00023030535339785274,-159.91247820223725,-159.91211,0.0003688272372528445,-0.0139083575112376,-0.0139083248,3.271123760056893e-08,2.351912335740513e-06,35.12342392653227,0.00912230935626349,4.4302794216175e-08,1.2224115102099642e-08,2.785950255212999e-10,3.5396409761578873e-10
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00387,F084,8.069732,8.069732,2.8765869153346557e-07,8.057219375280896,8.0572195,1.3002916254833963e-07,7.32741238208222,7.3274126,2.2320342463189036e-07,0.012512624719104082,0.012512207,4.176878540818052e-07,0.0017076457645131,0.00170758867,5.7094513099958943e-08,3.3434635148840876e-05,490.4381330907345,0.001550562610890186,3.9257882046084616e-08,1.774557718803825e-08,5.20172494487825e-11,3.903820712872208e-11
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00387,F093,-2.93043,-2.93043,6.454467760264038e-08,-2.8957933865168544,-2.8957934,5.144090930997436e-08,2.1633991684316607,2.1633992,5.108127876241042e-08,-0.034636613483145506,-0.034636497,1.1598558691261474e-07,-0.0160102740116402,-0.0160102192,5.4811640202295786e-08,3.423529176480379e-06,29.426775263622403,0.011819635167243547,2.983484438667805e-08,2.377781686824232e-08,3.780278728937603e-10,8.209522783797496e-10
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00492,F006,-29.44152,-29.44152,6.90917968171334e-07,-29.79485154831463,-29.794851,2.452140428488292e-07,40.397114685636396,40.397114,8.855875677227232e-07,0.3533315483146282,0.3533306,9.361320110201632e-07,0.008746455064036,0.00874643214,2.2924036001056858e-08,2.6209516693587967e-06,24.614496229216456,0.011858812175710092,1.7103151372585557e-08,6.070088027707032e-09,1.9174024520896005e-10,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00492,F008,106135.5996,106135.6,0.001962499998626299,107079.55861595519,107079.56,0.0038840448105474934,121695.0100987497,121695.01,0.0022862496989546344,-943.9590159551881,-943.96094,0.0019215448119211942,-0.0077567602417651,-0.00775677618,1.5938234900272907e-08,2.05475409881253e-06,34.22709882631898,0.008815492220515515,1.6126380144448893e-08,3.19162208172602e-08,1.4572409511720563e-10,2.669903360896786e-12
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00492,F101,-1.184368,-1.184368,1.4335632236850415e-08,-1.175599507865169,-1.1755995,5.203173403245387e-08,0.8156588670555229,0.81565887,3.0363844771841286e-10,-0.008768492134830996,-0.0087685585,6.636736626930428e-08,-0.0107501953193799,-0.010750277,8.168062010094346e-08,7.598059167696594e-06,87.70389801263809,0.007403519965780058,1.757552429981768e-08,6.379104811569947e-08,4.001882158988224e-12,3.1804960227976853e-10
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00523,F015,-51.78504,-51.78504,1.8090820290694865e-06,-52.52171015280899,-52.52171,7.106703208137333e-07,81.3575884968824,81.35759,1.2247972875911728e-06,0.7366701528089905,0.73666763,2.5197523498832197e-06,0.0090547196201276,0.00905468874,3.0880127599094975e-08,3.410390259953716e-06,33.15728453360498,0.014026012303591975,2.2236180553109053e-08,8.735144834889907e-09,1.3631419257253974e-10,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00677,F003,38.007113,38.007114,1.4104003938086862e-06,38.144605352808995,38.144604,1.6235609479053892e-06,46.115512234263214,46.115513,6.136371766274351e-07,-0.13749235280899796,-0.13748932,3.0339613417140754e-06,-0.0029814772979327,-0.00298141153,6.576793270011635e-08,2.2058840677981548e-05,282.4711200725287,0.0036045032197160464,3.058407726510767e-08,3.520639508787851e-08,3.967300142918018e-11,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R00926,F034,1.037638,1.037638,5.1010131896234157e-08,1.0040393865168542,1.0040394,2.025957401841083e-08,0.6929177841236928,0.69291776,1.993683362844223e-08,0.033598613483145856,0.033598542,7.126970591464499e-08,0.0484886003115604,0.0484884977,1.0261156040136665e-07,2.1161996787294877e-06,27.5445810072124,0.03237989885022123,7.361642757885978e-08,2.9238063241343593e-08,1.3951282976099044e-09,1.1521948534154447e-09
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R01461,F015,-52.546866,-52.546867,1.3706054673434664e-06,-52.52171015280899,-52.52171,7.106703208137333e-07,81.3575884968824,81.35759,1.2247972875911728e-06,-0.025155847191008718,-0.025157928,2.0812757881571997e-06,-0.0003092009934878,-0.000309226569,2.5575512200030556e-08,8.271484483777921e-05,878.767907820642,0.000478731637220928,1.684668257429271e-08,8.73514487110226e-09,4.654851103094021e-12,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R01461,F111,-2.713438,-2.713438,3.405761717090172e-08,-2.7211328651685416,-2.7211328,1.098890005657438e-07,1.6206351884688823,1.6206352,3.6605784181631407e-08,0.007694865168541565,0.007694721,1.4394661773664552e-07,0.004748055097959,0.0047479663,8.87979589997423e-08,1.8701964734552684e-05,190.69216492772102,0.0028278167769896674,2.1014980589040277e-08,6.780613009266245e-08,1.0724586843591233e-10,8.409200332598621e-11
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R01464,F100,3.130879,3.130879,7.467651386150465e-08,3.1358836337078633,3.1358836,6.399045604510434e-08,2.0194083930480877,2.0194085,7.138367497105946e-08,-0.005004633707863082,-0.0050046444,1.0686057816400307e-08,-0.0024782672613879,-0.00247827242,5.1586120999869145e-09,2.0815398647109373e-06,22.15607026219368,0.0015959245598490567,3.6979401579068094e-08,3.168772409181328e-08,8.760375628039108e-11,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R01464,F103,-2.744494,-2.744494,3.8665771473489485e-08,-2.7514211528089887,-2.7514212,6.034103572361005e-08,1.8379944113100042,1.8379945,4.49811945468781e-08,0.006927152808988701,0.006927252,9.900680719709953e-08,0.0037688650010918,0.0037689188,5.379890819987021e-08,1.427456493779566e-05,231.06455127894878,0.002517663572483846,2.103693642159163e-08,3.282982551653171e-08,9.223528885105026e-11,2.4382977841658215e-11
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R01896,F050,4.510698,4.510698,1.5835571254285696e-07,4.599775211235955,4.5997753,1.0309509956840657e-07,3.3677927587005363,3.3677928,8.607180257413916e-08,-0.08907721123595547,-0.08907747,2.6145081211126353e-07,-0.0264497306153499,-0.026449807,7.63846500981269e-08,2.887917885023662e-06,41.008696760982275,0.019365557477323006,4.702062272876617e-08,3.061206764812252e-08,6.759845114223673e-10,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R01896,F058,4.753366,4.753366,6.500243898699409e-09,4.789627404494381,4.7896276,1.4753808930123569e-07,3.544394617477665,3.5443947,1.1404394140157592e-07,-0.036261404494381644,-0.03626156,1.540383331999351e-07,-0.0102306341160699,-0.0102306772,4.308393009889999e-08,4.211266829611798e-06,46.26101768948138,0.007570819488036897,1.8339504255504568e-09,4.162575145856551e-08,3.2917939728205337e-10,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R01896,F096,4326.4509,4326.4507,0.00021640624981955625,4422.98089303371,4422.981,6.399753965524724e-05,2694.4732945222427,2694.4734,9.414963233211893e-05,-96.52999303371053,-96.53027,0.0002804037894748035,-0.0358251808358806,-0.0358252823,1.0146411939804256e-07,2.8322011789099328e-06,27.236567158252,0.021824646176009335,8.031486171261593e-08,2.3751409970740323e-08,1.25179465404468e-09,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B6-R01896,F112,18995.2676,18995.268,2.1874999220017344e-05,18818.606530337078,18818.607,0.0008915379221434705,12430.306290422031,12430.307,0.0003502029685478192,176.66106966292136,176.66016,0.0009134129213634878,0.0142121252313021,0.0142120514,7.383130209981381e-08,5.194951557083167e-06,79.27575698494911,0.009300267486777673,1.7598116661826646e-09,7.172292460985719e-08,4.004026121079418e-10,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B10-R01737,F010,25.26046,25.26046,1.0009765460949893e-07,24.782033042696618,24.782034,8.775914679404195e-07,28.50440778144265,28.504408,1.012477781614507e-07,0.47842695730338036,0.47842598,9.776891225499185e-07,0.0167843149372446,0.0167842805,3.443724460108766e-08,2.0517515746008194e-06,18.488354915753007,0.01893975633473739,3.5116552547787006e-09,3.0787921410230235e-08,5.961791477160361e-11,7.805005600158843e-11
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B10-R01737,F033,4.445247,4.445247,1.7330932600145843e-07,4.347216343820224,4.347216,2.145172457446165e-07,2.0002931661191585,2.0002933,8.873313639412572e-08,0.09803065617977591,0.098031044,3.8782657174607493e-07,0.0490081443261483,0.0490083359,1.9157385169887853e-07,3.9090207216163514e-06,51.42521423846483,0.02205291543524486,8.664196278485026e-08,1.0724290290531346e-07,2.174004379296157e-09,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B10-R01737,F041,4.571091,4.571091,1.7507934568783412e-07,4.5018960404494415,4.501896,1.3590842584676466e-07,2.1115146160914633,2.1115146,4.776260587036063e-08,0.06919495955055854,0.06919527,3.109877715345988e-07,0.0327702962713288,0.0327704437,1.4742867120165482e-07,4.498850726920107e-06,39.57508258149028,0.015137515212573659,8.291647358993348e-08,6.436537309389978e-08,7.412664718153827e-10,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B10-R01737,F054,-6.421238,-6.421238,5.4443359154277005e-08,-6.430512714606746,-6.430513,1.9051410404813396e-07,5.528884025825645,5.528884,9.180464921598741e-08,0.009274714606745782,0.00927496,2.4495746320241096e-07,0.0016775021077351,0.00167754642,4.431226490017766e-08,2.64156239779671e-05,380.6394571159035,0.0014422978413025302,9.847079308856685e-09,3.445796719486749e-08,2.7854234543878142e-11,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B10-R01737,F056,16427.4892,16427.488,0.0009187499999825377,16686.19915910113,16686.2,5.964887168374844e-05,10803.627520998441,10803.628,0.00040868905853130855,-258.70995910112833,-258.71094,0.0009783988716662861,-0.0239465826268341,-0.0239466727,9.007316590162184e-08,3.7614204625877396e-06,48.35766272433102,0.015504427139719267,8.504088080604766e-08,5.521189238438806e-09,9.058721828214544e-10,4.1697152328157294e-10
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B10-R01737,F067,33.618535,33.618534,9.118652357642532e-07,32.264158339325846,32.26416,1.8169241542409509e-06,36.229715545522986,36.229717,1.7091156863102697e-06,1.3543766606741556,1.3543739,2.728789390005204e-06,0.0373830332444197,0.0373829566,7.664441969978952e-08,2.050246142378789e-06,20.574079751968384,0.04028660560830969,2.5168986880763633e-08,5.015010817038812e-08,1.7635226751133715e-09,0.0
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B10-R01737,F096,4433.3675,4433.3677,0.0001757812497089617,4422.98089303371,4422.981,6.399753965524724e-05,2694.4732945222427,2694.4734,9.414963233211893e-05,10.386606966289946,10.386719,0.00011178371005371446,0.0038547819298879,0.0038548233,4.137011209992547e-08,1.0732153686610372e-05,177.68327850103378,0.002342825620995766,6.523770347023616e-08,2.3751409857115935e-08,1.346928180968876e-10,1.851281974940555e-11
EXP-EMBED-C1-PREPROC-REPAIR-001,GOLD-MODEL-C1-B10-R01737,F102,-1.965138,-1.965138,4.147338872328987e-08,-1.965227238202248,-1.9652272,8.082236879758398e-09,1.3831542652115445,1.3831543,7.821597591828322e-09,8.923820224793211e-05,8.928776e-05,4.955562560304827e-08,6.451789543105208e-05,6.4553722e-05,3.582656894792597e-08,0.0005552966151261477,4923.966142695397,4.5408592204108414e-05,2.9984644349815627e-08,5.8433372784535975e-09,3.6484217611019304e-13,0.0
