experiment_id,population,metric,count,max,mean,p99,p95,p50,median
EXP-EMBED-C1-FUSED-EQUIV-001,GOLDEN,score_absolute_error,174,4.853312884733896e-05,2.0288288865139672e-06,3.7089252608240034e-05,7.492605935777156e-06,5.731782530826735e-07,
EXP-EMBED-C1-FUSED-EQUIV-001,GOLDEN,probability_absolute_error,174,9.249904814323529e-07,6.922375108148552e-08,7.725887266712983e-07,4.5353252356994386e-07,1.495461780451346e-09,
EXP-EMBED-C1-FUSED-EQUIV-001,GOLDEN,margin_error,29,7.421617881675502e-05,4.149441320322467e-06,,7.685122615441738e-06,7.707904465803495e-07,
EXP-EMBED-C1-FUSED-EQUIV-001,BOUNDARY,score_absolute_error,36,3.682905063584485e-06,8.796141526854237e-07,3.2714583046100627e-06,2.410903489291627e-06,,6.119253309622152e-07
EXP-EMBED-C1-FUSED-EQUIV-001,BOUNDARY,probability_absolute_error,36,4.580720642799463e-07,7.035391559089134e-08,4.556276962053296e-07,3.6643046934237145e-07,,3.677682497297066e-09
EXP-EMBED-C1-FUSED-EQUIV-001,BOUNDARY,margin_error,6,1.7727402337186504e-06,6.8006904411592e-07,1.7230059387696175e-06,1.5240687589734847e-06,,6.912774768164098e-07
