experiment_id,artifact_path,sha256,source_model_sha256,generator,git_commit,evidence_state
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c1/preprocessing_c1.h,9fc438d54166566d4bc19489d2bf7b1b364da98f59ea1256b61744a05b649d7e,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c1/preprocessing_c1.c,79388d9df23d6715af8a9ad6cf5f40a97abfead7aa3c0a85e697e90bee2ec5a1,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c1/model_c1.h,335f2eb2c938111e008e8c9427a96e9d541c21cdbae9407810c4c9d991a94dd1,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c1/model_c1.c,c6066a001b9dc9c23e2f540d3c45c900dcbded17e6399bb4a8e6281498ca645d,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c1/inference_c1.h,05e5d74e41e4d85f58c84f2deb15a72297919a4e4bf5a0cd3b763e42acb4ff96,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c1/inference_c1.c,ecd7ce7947c0105a53863fe5f33882434f6f4f7ce4543d44cff876465c90265d,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c1/lineage.json,d9e1dd7f1fe2302880f85a8d27e09b3a9b357eb69b65f1bdefde36e88103bb80,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c4/preprocessing_c4.h,5626c1fd5f36569df21c64c470e51addadfc7a368dde2bb5aac0bd95feba2e7e,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c4/preprocessing_c4.c,e9d9898bf3ceb93d2aa99f551e142b1cdb11a81a0940e5b4f9e8999598de2ff3,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c4/model_c4.h,0871bffe39c538c0ea3176693f2089bfe26a76b694a1602d6206391a2ea642fb,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c4/model_c4.c,e5c643025dce9459a19a9af5b9d18245394cee4109479ef351c7e722f1553879,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c4/inference_c4.h,aa80f15d4241b013c981d45758bef743f8f8c85c3bc83b31e55ade5628098030,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c4/inference_c4.c,4cfb688ddc2c824407426b0ce2ddb019093e082ec3e34e3f3b756af2dcb9b82e,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/generated/c4/lineage.json,6b02eb1149f31b3aaca9d4289c2ef92ffdd5cb78f77e5baeba6d9d3db6fd6bc4,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,src/embedded/export_fp32_common.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
