experiment_id,artifact_path,sha256,expected_sha256,verification_status
EXP-EMBED-C1-PREPROC-REPAIR-001,artifacts/models/BASE-FIXED-C1-001.joblib,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,configs/embedded_equivalence_protocol.yaml,bd78b543749692a99e017b0561c775986b499125da1993ce8435979580357999,bd78b543749692a99e017b0561c775986b499125da1993ce8435979580357999,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,results/embedded/stage14_manifest.csv,a07239174432a66c817145635e95e2139f92b93e4f76a8a919ef5be8cc5e0757,a07239174432a66c817145635e95e2139f92b93e4f76a8a919ef5be8cc5e0757,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,data/manifests/embedded_golden_vectors.csv,0ec60d9b1ba7537ae8cb84df351554a60f2e920865f063ff53479057ffd5953b,0ec60d9b1ba7537ae8cb84df351554a60f2e920865f063ff53479057ffd5953b,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,data/manifests/embedded_boundary_vectors.csv,346ae928c7e1f9296a04dd59a86cda6c431a7df2e7254bebdc6bc57f1607fbd4,346ae928c7e1f9296a04dd59a86cda6c431a7df2e7254bebdc6bc57f1607fbd4,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,embedded/generated/c1/model_c1.c,c6066a001b9dc9c23e2f540d3c45c900dcbded17e6399bb4a8e6281498ca645d,c6066a001b9dc9c23e2f540d3c45c900dcbded17e6399bb4a8e6281498ca645d,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,embedded/generated/c1/model_c1.h,335f2eb2c938111e008e8c9427a96e9d541c21cdbae9407810c4c9d991a94dd1,335f2eb2c938111e008e8c9427a96e9d541c21cdbae9407810c4c9d991a94dd1,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,embedded/generated/c1/preprocessing_c1.c,79388d9df23d6715af8a9ad6cf5f40a97abfead7aa3c0a85e697e90bee2ec5a1,79388d9df23d6715af8a9ad6cf5f40a97abfead7aa3c0a85e697e90bee2ec5a1,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,embedded/generated/c1/preprocessing_c1.h,9fc438d54166566d4bc19489d2bf7b1b364da98f59ea1256b61744a05b649d7e,9fc438d54166566d4bc19489d2bf7b1b364da98f59ea1256b61744a05b649d7e,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,embedded/generated/c1/inference_c1.c,ecd7ce7947c0105a53863fe5f33882434f6f4f7ce4543d44cff876465c90265d,ecd7ce7947c0105a53863fe5f33882434f6f4f7ce4543d44cff876465c90265d,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,results/embedded/stage14_preprocessing_equivalence.csv,43297b90f2b576af617eda865147bdbb7550b3c6a9abeca92c925746402920df,43297b90f2b576af617eda865147bdbb7550b3c6a9abeca92c925746402920df,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,results/embedded/stage14_output_equivalence.csv,4c321c87813e837d7ed31ee950c6a1a06e5508dae08ee4de6a9780a877c85bc2,4c321c87813e837d7ed31ee950c6a1a06e5508dae08ee4de6a9780a877c85bc2,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,results/embedded/stage14_decision_equivalence.csv,9f83dd8322e3a1e018bffedd66d338d6479d3b01facf5e18d64329626933eb20,9f83dd8322e3a1e018bffedd66d338d6479d3b01facf5e18d64329626933eb20,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,results/embedded/stage14_c1_xai_equivalence.csv,67735aac068555e5d6222feaef0b66b7412e5771a28fe778a3a9bb68c8a8c94a,67735aac068555e5d6222feaef0b66b7412e5771a28fe778a3a9bb68c8a8c94a,VERIFIED
EXP-EMBED-C1-PREPROC-REPAIR-001,MODEL-C1:frozen_scaler_constants,7b4271494d7d8cc337ce6e044db79caf71ff74d3f752ece1ddcaa0e0888a4456,7b4271494d7d8cc337ce6e044db79caf71ff74d3f752ece1ddcaa0e0888a4456,VERIFIED
