gate_id,artifact_id,path,sha256,registered_sha256,verification_status
GATE-EMBED-EXPORT-001,ART-523969E083F8,artifacts/models/BASE-FIXED-C1-001.joblib,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,VERIFIED
GATE-EMBED-EXPORT-001,ART-65B8C9AE4FED,artifacts/models/BASE-FIXED-C2-001.joblib,65b8c9ae4fed9c9e448a6699dbfa22da5b8c889a9ec357ce57230876bbbf9664,65b8c9ae4fed9c9e448a6699dbfa22da5b8c889a9ec357ce57230876bbbf9664,VERIFIED
GATE-EMBED-EXPORT-001,ART-4BF3323B86D2,artifacts/models/BASE-FIXED-C3-001.joblib,4bf3323b86d298b5cb4ab5941ab40d03c10ac4b95104201cee0acddfe5b549c0,4bf3323b86d298b5cb4ab5941ab40d03c10ac4b95104201cee0acddfe5b549c0,VERIFIED
GATE-EMBED-EXPORT-001,ART-AF63D8B42A20,artifacts/models/BASE-FIXED-C4-001.joblib,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,VERIFIED
GATE-EMBED-EXPORT-001,ART-1455A1F59935,research/feature_metadata.csv,1455a1f59935dec85532f19ed25e416cb9454ac41f30aaf4dde1e4b69ecf4318,1455a1f59935dec85532f19ed25e416cb9454ac41f30aaf4dde1e4b69ecf4318,VERIFIED
GATE-EMBED-EXPORT-001,ART-A37771086930,data/manifests/dataset_manifest.json,a37771086930a83b0cef44a2cff6a8e09ffeec0402adfc248187011aa480fda6,a37771086930a83b0cef44a2cff6a8e09ffeec0402adfc248187011aa480fda6,VERIFIED
GATE-EMBED-EXPORT-001,ART-25AA53608986,results/xai/stage09_manifest.csv,25aa536089868828c9b3a4e0cabf869283fba30aac89b8471cf3b5baa680c89a,25aa536089868828c9b3a4e0cabf869283fba30aac89b8471cf3b5baa680c89a,VERIFIED
GATE-EMBED-EXPORT-001,ART-C7FDD9BD245C,results/xai/stage10_manifest.csv,c7fdd9bd245c5939e80c9f4724a20dafd1c6a9f4a0a3652334349156293b6f82,c7fdd9bd245c5939e80c9f4724a20dafd1c6a9f4a0a3652334349156293b6f82,VERIFIED
GATE-EMBED-EXPORT-001,ART-2A99BE4200D1,results/xai/stage11_manifest.csv,2a99be4200d13f8fd5ee67051d83ebd190cf79434e25ae766599b0b1abec7b38,2a99be4200d13f8fd5ee67051d83ebd190cf79434e25ae766599b0b1abec7b38,VERIFIED
GATE-EMBED-EXPORT-001,ART-F21B0CE32E4D,results/xai/stage12_manifest.csv,f21b0ce32e4d62414d35464970387532e7a4b3fd433d91fb97f25df577fde73c,f21b0ce32e4d62414d35464970387532e7a4b3fd433d91fb97f25df577fde73c,VERIFIED
GATE-EMBED-EXPORT-001,ART-3018B6C8B0FD,results/xai/stage12_latency_summary.csv,3018b6c8b0fd81312eb95c7ad1563dc2308a9d8bf0fa6dc92b68e9805e10e4fd,3018b6c8b0fd81312eb95c7ad1563dc2308a9d8bf0fa6dc92b68e9805e10e4fd,VERIFIED
GATE-EMBED-EXPORT-001,ART-34EC1788F82B,results/xai/stage10_fidelity_summary.csv,34ec1788f82b8850a101e21e38ce73f91c5f9a9e89933df05e95bd360a84751a,34ec1788f82b8850a101e21e38ce73f91c5f9a9e89933df05e95bd360a84751a,VERIFIED
GATE-EMBED-EXPORT-001,ART-1C4A27D9A997,results/xai/stage11_stability_summary.csv,1c4a27d9a9974a56a0e89dfa6a6c74ce2670702c3a5b5e3398681be063c1af23,1c4a27d9a9974a56a0e89dfa6a6c74ce2670702c3a5b5e3398681be063c1af23,VERIFIED
