gate_id,model_id,model_type,coefficients,bias_values,macs,class_score_operations,trees,total_nodes,leaf_count,max_depth,average_depth,comparison_count_estimate,support_vectors,kernel_evaluations,dot_or_distance_operations,weights,biases,activation_buffer_elements,output_buffer_elements,measurement_type
GATE-EMBED-EXPORT-001,MODEL-C1,LogisticRegression,768,6,768,6,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,6,DERIVED_ANALYTICAL
GATE-EMBED-EXPORT-001,MODEL-C2,RandomForestClassifier,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,200,10230,5215,11,7.87,1574.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,6,DERIVED_ANALYTICAL
GATE-EMBED-EXPORT-001,MODEL-C3,SVC,655,15,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,131,131,16768,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,6,DERIVED_ANALYTICAL
GATE-EMBED-EXPORT-001,MODEL-C4,MLPClassifier,NOT_APPLICABLE,NOT_APPLICABLE,10432,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,10432,102,64,6,DERIVED_ANALYTICAL
