experiment_id,sample_id,feature_id,reference_attribution,exported_attribution,absolute_error,relative_error,sign_agreement,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,top_20_overlap,pass
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F025,0.35933137255303943,0.359331369,3.553039418235926e-09,9.887918755859472e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F026,0.28526807830723117,0.285268098,1.9692768860046783e-08,6.903250085639742e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F027,0.09039929647147897,0.0903993025,6.0285210295996094e-09,6.668769852099027e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F028,0.033602245994422235,0.0336022452,7.94422236327641e-10,2.364193859123316e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F029,0.020179005495286777,0.0201790053,1.9528677633329217e-10,9.67772055857289e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F030,0.07030766947595864,0.0703076646,4.875958636851863e-09,6.935173179818132e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F031,0.1238276641677715,0.123827659,5.167771488512329e-09,4.1733578059831806e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F032,-0.06998594328697036,-0.0699859411,2.186970354811635e-09,3.124870869917666e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F033,-0.38463880422528984,-0.384638727,7.722528982956334e-08,2.0077352825881576e-07,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F034,-0.028056393881677116,-0.028056398,4.118322884105741e-09,1.4678732061839594e-07,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F035,-0.17533768326680715,-0.175337687,3.73319283819562e-09,2.1291446132061127e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F036,0.18478510421399988,0.184785113,8.786000121885351e-09,4.754712323407991e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F037,0.01855392755772182,0.0185539275,5.7721820378997535e-11,3.111029737473278e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F038,0.03806909937635057,0.0380690992,1.763505730334458e-10,4.632381010384474e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F039,0.11690244324533423,0.116902441,2.245334237982455e-09,1.9206905994858835e-08,True,1.0,1.0,1.0,1.0,1.0,True
