experiment_id,model_id,method,batch,feature_index,feature_name,importance,importance_std,rank,status
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,0,S1:dR,0.02510552834625549,0.01070195602202805,8,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,1,S1:dR_norm,-0.034943714401350176,0.009133997975940722,128,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,2,S1:EMAi_0.001,0.007774084761264377,0.009812053987046182,35,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,3,S1:EMAi_0.01,0.004834698878052856,0.0019093022085191348,48,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,4,S1:EMAi_0.1,0.0056467553236155595,0.007390035752456645,43,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,5,S1:EMAd_0.001,0.0863046134154499,0.022157985441672152,3,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,6,S1:EMAd_0.01,0.02706758354974681,0.006361110605456397,7,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,7,S1:EMAd_0.1,0.011000216247858075,0.004604019757203881,28,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,8,S2:dR,0.11630700420449828,0.013406964438738591,2,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,9,S2:dR_norm,0.04256978531507939,0.018447536603538296,5,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,10,S2:EMAi_0.001,-0.01084359764342826,0.0015743643329850343,126,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,11,S2:EMAi_0.01,0.018599157300362833,0.004141833527782252,13,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,12,S2:EMAi_0.1,0.0025095004216547645,0.002707174154899292,62,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,13,S2:EMAd_0.001,0.12868825156751917,0.015957411857318665,1,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,14,S2:EMAd_0.01,0.007230075409022363,0.004270208739059701,36,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,15,S2:EMAd_0.1,0.018523005087711864,0.005680886249127462,14,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,16,S3:dR,0.017306290769443344,0.009322300591381784,16,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,17,S3:dR_norm,-0.004573510215693566,0.0020758431077960338,123,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,18,S3:EMAi_0.001,0.005019972436427667,0.004994803931683091,46,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,19,S3:EMAi_0.01,0.005173286367093355,0.008419801496427168,45,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,20,S3:EMAi_0.1,-0.000335630806113274,0.0004110621084682572,102,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,21,S3:EMAd_0.001,0.011929608819082182,0.006872263678190647,26,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,22,S3:EMAd_0.01,-0.00229199993111866,0.0018714101072449694,119,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,23,S3:EMAd_0.1,0.0,0.0,76,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,24,S4:dR,0.02357017840482708,0.009032458519076962,9,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,25,S4:dR_norm,0.0029991499146856614,0.0036731934765457854,56,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,26,S4:EMAi_0.001,0.008948450102246408,0.007263152761138464,33,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,27,S4:EMAi_0.01,-0.0007639999770395533,0.0015279999540791067,110,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,28,S4:EMAi_0.1,-0.000503446209169911,0.0004110621084682571,107,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,29,S4:EMAd_0.001,0.004253320243755687,0.004940661127541482,50,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,30,S4:EMAd_0.01,0.0,0.0,77,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,31,S4:EMAd_0.1,0.0,0.0,78,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,32,S5:dR,0.013376599145252821,0.007995784135200011,23,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,33,S5:dR_norm,0.014457734989788218,0.0016358543417366975,21,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,34,S5:EMAi_0.001,-0.00237026227671302,0.00187531129608658,121,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,35,S5:EMAi_0.01,-0.0015389737954916382,0.0030779475909832764,116,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,36,S5:EMAi_0.1,-0.0007639999770395533,0.0015279999540791067,111,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,37,S5:EMAd_0.001,0.013570016358915526,0.004582769684260963,22,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,38,S5:EMAd_0.01,0.0,0.0,79,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,39,S5:EMAd_0.1,-0.0016974080108111077,0.0020960769682821442,117,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,40,S6:dR,0.010824483127892349,0.008234125080922952,29,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,41,S6:dR_norm,0.004929113389437223,0.0015450593696877087,47,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,42,S6:EMAi_0.001,0.0,0.0,80,EXECUTED
EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,43,S6:EMAi_0.01,0.0,0.0,81,EXECUTED
