model_id,method,scope,batch,phase,feature_count,sample_count,prediction_calls,batch_size,environment_id,median_ns,mean_ns,p95_ns,p99_ns,iqr_ns,min_ns,max_ns,std_ns,cv,n,experiment_id,median_us,p95_us,unit,variance_flag,scientific_scope,global_explanation_total_ms,normalized_ms_per_evaluated_sample,normalization_warning
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,TOP_K_REDUCTION_K3,128,0,0,1,HOST-STAGE12-001,4800.0,4824.0,4900.0,5001.000000000001,100.0,4700.0,5100.0,68.34257143762642,0.0141671997175842,100,EXP-XAI-LATENCY-001,4.8,4.9,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,,,NOT_APPLICABLE
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,TOP_K_REDUCTION_K5,128,0,0,1,HOST-STAGE12-001,4900.0,5461.0,5534.999999999998,20304.000000000004,100.0,4700.0,20700.0,2634.8823598986446,0.4824908185128446,100,EXP-XAI-LATENCY-001,4.9,5.534999999999998,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED,,,NOT_APPLICABLE
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,9463815500.0,9456034966.666666,9467436020.0,9467757844.0,15693600.0,9436451100.0,9467838300.0,17078981.385707207,0.0018061461749995,3,EXP-XAI-LATENCY-001,9463815.5,9467436.02,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,9463.8155,36.968029296875,SECONDARY_DIAGNOSTIC_NOT_LOCAL_EXPLANATION_LATENCY
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,9359869200.0,9340088233.333334,9360621240.0,9360688088.0,30507050.0,9299690700.0,9360704800.0,34987784.74558419,0.0037459801097722,3,EXP-XAI-LATENCY-001,9359869.2,9360621.24,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,9359.8692,36.5619890625,SECONDARY_DIAGNOSTIC_NOT_LOCAL_EXPLANATION_LATENCY
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,9677474500.0,9664188800.0,9773391100.0,9781917020.0,126502550.0,9531043400.0,9784048500.0,127024712.26052828,0.0131438566536001,3,EXP-XAI-LATENCY-001,9677474.5,9773391.1,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,9677.4745,37.802634765625,SECONDARY_DIAGNOSTIC_NOT_LOCAL_EXPLANATION_LATENCY
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,3319257500.0,3307693266.6666665,3335536070.0,3336983054.0,35433650.0,3266477500.0,3337344800.0,36821762.203394525,0.0111321574386798,3,EXP-XAI-LATENCY-001,3319257.5,3335536.07,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,3319.2575,12.965849609375,SECONDARY_DIAGNOSTIC_NOT_LOCAL_EXPLANATION_LATENCY
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,3329822600.0,3316983166.6666665,3349876940.0,3351659548.0,41541750.0,3269021700.0,3352105200.0,43004130.95626202,0.0129648324382297,3,EXP-XAI-LATENCY-001,3329822.6,3349876.94,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,3329.8226,13.00711953125,SECONDARY_DIAGNOSTIC_NOT_LOCAL_EXPLANATION_LATENCY
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,3261422600.0,3261273666.6666665,3283771310.0,3285757862.0,25055300.0,3236143900.0,3286254500.0,25055631.980521534,0.0076827750570625,3,EXP-XAI-LATENCY-001,3261422.6,3283771.31,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,3261.4226,12.73993203125,SECONDARY_DIAGNOSTIC_NOT_LOCAL_EXPLANATION_LATENCY
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,1448625800.0,1448774133.3333333,1455475610.0,1456084482.0,7388400.0,1441459900.0,1456236700.0,7389516.6718354,0.0051005305118428,3,EXP-XAI-LATENCY-001,1448625.8,1455475.61,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,1448.6258,5.65869453125,SECONDARY_DIAGNOSTIC_NOT_LOCAL_EXPLANATION_LATENCY
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,1444864400.0,1449874800.0,1462304600.0,1463854840.0,11862400.0,1440517600.0,1464242400.0,12631097.136828614,0.0087118536971803,3,EXP-XAI-LATENCY-001,1444864.4,1462304.6,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,1444.8644,5.6440015625,SECONDARY_DIAGNOSTIC_NOT_LOCAL_EXPLANATION_LATENCY
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,1468170900.0,1467746933.3333333,1475774370.0,1476450234.0,9084250.0,1458450700.0,1476619200.0,9091667.001344329,0.0061943014799538,3,EXP-XAI-LATENCY-001,1468170.9,1475774.37,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,1468.1708999999998,5.735042578124999,SECONDARY_DIAGNOSTIC_NOT_LOCAL_EXPLANATION_LATENCY
