model_id,method,scope,batch,phase,feature_count,sample_count,prediction_calls,batch_size,environment_id,median_ns,mean_ns,p95_ns,p99_ns,iqr_ns,min_ns,max_ns,std_ns,cv,n,experiment_id,median_us,p95_us,unit,variance_flag,scientific_scope,median_us_per_sample,p95_us_per_sample,primary_metric
MODEL-C2,BASELINE_MODEL,LOCAL,2,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,180700.0,188586.66666666663,231660.0,249933.0,24600.0,163100.0,253500.0,23479.21653708663,0.1245009361058751,30,EXP-XAI-LATENCY-001,180.7,231.66,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,180.7,231.66,host_inference_latency_us_per_sample
MODEL-C2,BASELINE_MODEL,LOCAL,6,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,11224100.0,11268210.0,11613125.0,12034579.0,271650.0,10960600.0,12201300.0,259189.7312647696,0.0230018548877567,30,EXP-XAI-LATENCY-001,11224.1,11613.125,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,11224.1,11613.125,host_inference_latency_us_per_sample
MODEL-C2,BASELINE_MODEL,LOCAL,6,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,179600.0,190426.66666666663,233600.0,261599.00000000003,27125.0,161900.0,272300.0,26646.600783839825,0.139931036184567,30,EXP-XAI-LATENCY-001,179.6,233.6,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,179.6,233.6,host_inference_latency_us_per_sample
MODEL-C2,BASELINE_MODEL,LOCAL,10,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,10925550.0,11005536.666666666,11497610.0,12304282.0,390875.0,10551700.0,12595500.0,387338.6235567666,0.0351948873815421,30,EXP-XAI-LATENCY-001,10925.55,11497.61,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,10925.55,11497.61,host_inference_latency_us_per_sample
MODEL-C2,BASELINE_MODEL,LOCAL,10,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,153150.0,159693.33333333334,198390.0,201472.0,13325.0,147200.0,202400.0,17466.992187894117,0.1093783429984185,30,EXP-XAI-LATENCY-001,153.15,198.39,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,153.15,198.39,host_inference_latency_us_per_sample
MODEL-C3,BASELINE_MODEL,BATCH,2,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,768800.0,768830.0,775105.0,781209.0,6375.0,762200.0,783500.0,4812.78111583786,0.0062598768464262,30,EXP-XAI-LATENCY-001,768.8,775.105,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,24.025,24.22203125,host_inference_latency_us_per_sample
MODEL-C3,BASELINE_MODEL,BATCH,6,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,766700.0,780130.0,876214.9999999998,936744.0,7500.0,759700.0,950200.0,42961.39526084576,0.0550695336172763,30,EXP-XAI-LATENCY-001,766.7,876.2149999999998,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,23.959375,27.381718749999994,host_inference_latency_us_per_sample
MODEL-C3,BASELINE_MODEL,BATCH,10,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,771700.0,777976.6666666666,820775.0,845025.0,7725.0,764300.0,853000.0,20492.23037512331,0.0263404177183419,30,EXP-XAI-LATENCY-001,771.7,820.775,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,24.115625,25.64921875,host_inference_latency_us_per_sample
MODEL-C3,BASELINE_MODEL,LOCAL,2,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,342250.0,347006.6666666667,357220.0,402629.00000000006,8475.0,337500.0,420000.0,14786.735279631032,0.0426122512909387,30,EXP-XAI-LATENCY-001,342.25,357.22,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,342.25,357.22,host_inference_latency_us_per_sample
MODEL-C3,BASELINE_MODEL,LOCAL,2,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,143700.0,145506.66666666666,149445.0,179978.00000000003,1950.0,141100.0,192100.0,8996.89346130224,0.061831486263875,30,EXP-XAI-LATENCY-001,143.7,149.445,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,143.7,149.445,host_inference_latency_us_per_sample
MODEL-C3,BASELINE_MODEL,LOCAL,6,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,341700.0,345853.3333333333,371114.9999999999,404608.0,6100.0,336100.0,411800.0,15448.506976924726,0.0446677984220422,30,EXP-XAI-LATENCY-001,341.7,371.1149999999999,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,341.7,371.1149999999999,host_inference_latency_us_per_sample
MODEL-C3,BASELINE_MODEL,LOCAL,6,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,142850.0,145266.66666666666,150950.0,177244.00000000003,2200.0,140800.0,187800.0,8478.87164473057,0.0583676340848823,30,EXP-XAI-LATENCY-001,142.85,150.95,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,142.85,150.95,host_inference_latency_us_per_sample
MODEL-C3,BASELINE_MODEL,LOCAL,10,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,344200.0,344493.3333333333,350940.0,351868.0,3650.0,337500.0,352100.0,3584.057932618809,0.0104038528059144,30,EXP-XAI-LATENCY-001,344.2,350.94,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,344.2,350.94,host_inference_latency_us_per_sample
MODEL-C3,BASELINE_MODEL,LOCAL,10,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,144300.0,145006.66666666666,152125.0,152942.0,1375.0,141800.0,153000.0,2757.0515652293,0.0190132745521766,30,EXP-XAI-LATENCY-001,144.3,152.125,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,144.3,152.125,host_inference_latency_us_per_sample
MODEL-C4,BASELINE_MODEL,BATCH,2,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,370900.0,370970.0,376850.0,379217.0,8300.0,364200.0,380000.0,4692.631788607357,0.0126496260846088,30,EXP-XAI-LATENCY-001,370.9,376.85,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,11.590625,11.7765625,host_inference_latency_us_per_sample
MODEL-C4,BASELINE_MODEL,BATCH,6,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,365750.0,369230.0,373630.0,431719.00000000006,3350.0,363500.0,454600.0,16349.209619196085,0.0442792016336594,30,EXP-XAI-LATENCY-001,365.75,373.63,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,11.4296875,11.6759375,host_inference_latency_us_per_sample
MODEL-C4,BASELINE_MODEL,BATCH,10,BASELINE_INFERENCE_END_TO_END,128,32,1,32,HOST-STAGE12-001,366600.0,373443.3333333333,416500.0,474484.00000000006,4200.0,353600.0,497800.0,27921.10415924242,0.0747666423979785,30,EXP-XAI-LATENCY-001,366.6,416.5,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,11.45625,13.015625,host_inference_latency_us_per_sample
MODEL-C4,BASELINE_MODEL,LOCAL,2,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,322550.0,324136.6666666667,325865.0,353335.00000000006,1775.0,320100.0,364500.0,7761.3313527909695,0.0239446262979328,30,EXP-XAI-LATENCY-001,322.55,325.865,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,322.55,325.865,host_inference_latency_us_per_sample
MODEL-C4,BASELINE_MODEL,LOCAL,2,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,139850.0,140420.0,140755.0,155142.00000000003,1075.0,138200.0,161000.0,3950.504114492313,0.0281334860738663,30,EXP-XAI-LATENCY-001,139.85,140.755,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,139.85,140.755,host_inference_latency_us_per_sample
MODEL-C4,BASELINE_MODEL,LOCAL,6,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,322900.0,325953.3333333333,338699.99999999994,357164.0,6350.0,317000.0,362500.0,8701.000074638006,0.0266940055058127,30,EXP-XAI-LATENCY-001,322.9,338.69999999999993,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,322.9,338.69999999999993,host_inference_latency_us_per_sample
MODEL-C4,BASELINE_MODEL,LOCAL,6,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,138950.0,140830.0,146675.0,147610.0,5675.0,137600.0,147900.0,3394.9404545080274,0.0241066566392673,30,EXP-XAI-LATENCY-001,138.95,146.675,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,138.95,146.675,host_inference_latency_us_per_sample
MODEL-C4,BASELINE_MODEL,LOCAL,10,BASELINE_INFERENCE_END_TO_END,128,1,1,1,HOST-STAGE12-001,323200.0,324600.0,332715.0,337205.0,9325.0,309700.0,338800.0,6921.680083073314,0.0213237217593139,30,EXP-XAI-LATENCY-001,323.2,332.715,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,323.2,332.715,host_inference_latency_us_per_sample
MODEL-C4,BASELINE_MODEL,LOCAL,10,PREPROCESSING_ONLY,128,1,0,1,HOST-STAGE12-001,139400.0,139413.33333333334,145660.0,148852.0,1250.0,133900.0,149200.0,3335.6727422932486,0.0239264972907415,30,EXP-XAI-LATENCY-001,139.4,145.66,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,139.4,145.66,host_inference_latency_us_per_sample
