experiment_id,model_id,method,batch,family,family_rank,aggregated_importance,features_altered,macro_f1_damage,unit
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,10,decaying_transient_ema,1,7.622343854471693,48,0.16788221952796456,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,10,rising_transient_ema,2,6.650918716394893,48,-0.05945519196486826,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,10,normalized_resistance_response,3,4.323334225428906,16,0.02738923246831007,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,10,steady_state_resistance_change,4,3.920581827643361,16,0.06802342331885439,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,2,decaying_transient_ema,1,0.35589577451756477,48,0.33073710279451535,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,2,steady_state_resistance_change,2,0.23264692770073556,16,0.23563012104838454,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,2,normalized_resistance_response,3,0.21322035073710968,16,0.23433874755932366,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,2,rising_transient_ema,4,0.19823694704458375,48,0.1274247893637459,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,3,decaying_transient_ema,1,0.35589577451756477,48,0.37428391728429655,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,3,steady_state_resistance_change,2,0.23264692770073556,16,0.3268108757047857,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,3,normalized_resistance_response,3,0.21322035073710968,16,0.22424899986763075,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,3,rising_transient_ema,4,0.19823694704458375,48,0.1371615692757478,macro_f1_proportion
