model_id,method,scope,batch,phase,feature_count,sample_count,prediction_calls,batch_size,environment_id,median_ns,mean_ns,p95_ns,p99_ns,iqr_ns,min_ns,max_ns,std_ns,cv,n,experiment_id,median_us,p95_us,unit,variance_flag,scientific_scope
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,6,TOP_K_REDUCTION_K10,128,1,0,1,HOST-STAGE12-001,5000.0,5082.888888888889,5300.0,6150.999999999999,200.0,4700.0,11800.0,474.466631607308,0.09334585940772465,450,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,6,TOP_K_REDUCTION_K20,128,1,0,1,HOST-STAGE12-001,5000.0,5046.0,5300.0,5601.999999999998,200.0,4800.0,6200.0,166.57027650691523,0.033010359989479834,450,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,6,TOP_K_REDUCTION_K3,128,1,0,1,HOST-STAGE12-001,5000.0,5116.222222222223,5300.0,6652.999999999997,200.0,4800.0,19900.0,1051.811014063186,0.20558352791922582,450,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,6,TOP_K_REDUCTION_K5,128,1,0,1,HOST-STAGE12-001,5000.0,5086.888888888889,5300.0,6650.999999999999,200.0,4700.0,11600.0,524.6966340493591,0.10314686353685361,450,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,EXPLANATION_COMPUTE,128,1,1,1,HOST-STAGE12-001,445000.0,450009.8333333333,467959.99999999994,591917.9999999999,10550.0,429600.0,780200.0,28274.7063350995,0.06283130776423664,600,EXP-XAI-LATENCY-001,445.0,467.9599999999999,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,SERIALIZATION_JSON,128,1,0,1,HOST-STAGE12-001,61000.0,62247.0,69184.99999999993,86309.99999999999,1400.0,58200.0,125200.0,5930.056234548554,0.09526653870144029,600,EXP-XAI-LATENCY-001,61.0,69.18499999999993,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K1,128,1,0,1,HOST-STAGE12-001,5000.0,5233.0,6200.0,9801.0,200.0,4600.0,12900.0,962.0743101741996,0.18384756548331732,600,EXP-XAI-LATENCY-001,5.0,6.2,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K10,128,1,0,1,HOST-STAGE12-001,5000.0,5039.833333333333,5400.0,5900.999999999999,200.0,4700.0,10500.0,297.7881268671749,0.05908689973884883,600,EXP-XAI-LATENCY-001,5.0,5.4,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K20,128,1,0,1,HOST-STAGE12-001,5000.0,5036.333333333333,5400.0,5600.999999999999,200.0,4700.0,10600.0,283.6323342944484,0.0563172283330032,600,EXP-XAI-LATENCY-001,5.0,5.4,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K3,128,1,0,1,HOST-STAGE12-001,5000.0,5006.5,5300.0,6000.999999999999,200.0,4700.0,6800.0,205.37294550299046,0.041021261460699183,600,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
