experiment_id,analysis,model_id,method,source_sample_id,target_sample_id,source_batch,target_batch,true_class,source_category,target_category,input_distance,model_output_distance,explanation_distance,spearman,kendall_tau_b,jaccard_at_5,jaccard_at_10,jaccard_at_20,cosine_similarity,sign_agreement,top_k_sign_agreement,sign_flip_frequency,unit,status
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B6:23,B10:842,6,10,1,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,1.1170832299727222,4.6317945235624355e-05,0.2414018572314156,0.8230978758469145,0.6513287401574804,0.6666666666666666,0.42857142857142855,0.6,0.9064640534354476,0.8359375,1.0,0.1640625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B6:24,B10:840,6,10,1,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,1.9488663398132633,0.002302465696340923,0.5040198128920986,0.39366073063541474,0.27854330708661423,0.1111111111111111,0.17647058823529413,0.21212121212121213,0.5891800645434715,0.5078125,0.696969696969697,0.4921875,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B6:0,B10:125,6,10,2,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,2.830321978970387,1.4483024466906692e-07,0.21481753976437418,0.6806960721479581,0.49507874015748043,0.0,0.5384615384615384,0.48148148148148145,0.8934456329461278,0.734375,0.9629629629629629,0.265625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B6:1,B10:123,6,10,2,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,2.847208642576008,0.07440809890552642,0.3138069025592254,0.43176043764878225,0.3024114173228347,0.0,0.05263157894736842,0.17647058823529413,0.7733841137375823,0.7421875,0.9117647058823529,0.2578125,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B6:387,B10:2363,6,10,3,MISCLASSIFIED,NEAR_DECISION_BOUNDARY,0.7226932762820829,0.4566077703782246,0.47419013824478135,0.32487754074345354,0.22071850393700793,0.0,0.17647058823529413,0.2903225806451613,0.6006418770622446,0.484375,0.3870967741935484,0.515625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B6:388,B10:9,6,10,3,MISCLASSIFIED,CORRECT_REPRESENTATIVE,0.48477537381389035,0.9283253694402476,0.4996870999533817,0.30025407434535795,0.20570866141732289,0.0,0.05263157894736842,0.14285714285714285,0.46121393269773214,0.484375,0.2857142857142857,0.515625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B6:389,B10:11,6,10,3,MISCLASSIFIED,CORRECT_REPRESENTATIVE,0.4049673420247285,0.8512934640252553,0.525907715889444,0.2902055484343527,0.18922244094488191,0.0,0.0,0.1111111111111111,0.472465635324521,0.4375,0.3055555555555556,0.5625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B6:390,B10:3,6,10,3,MISCLASSIFIED,MISCLASSIFIED,0.6770050913645992,0.7161021703281779,0.4939012053540023,0.13929454312396997,0.09104330708661418,0.0,0.17647058823529413,0.17647058823529413,0.5149895728849047,0.625,0.5,0.375,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B6:391,B10:2287,6,10,3,MISCLASSIFIED,NEAR_DECISION_BOUNDARY,0.6222753867859443,0.302969800027866,0.5142865479076575,0.1528852316425563,0.10137795275590554,0.0,0.05263157894736842,0.08108108108108109,0.48934240045910365,0.5390625,0.4864864864864865,0.4609375,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B6:488,B10:1,6,10,3,CORRECT_REPRESENTATIVE,MISCLASSIFIED,0.5360028111235601,0.4145066290829346,0.3568203263465206,0.37878822559970693,0.26230314960629925,0.25,0.25,0.25,0.7208144263557821,0.46875,0.34375,0.53125,distance_similarity_or_proportion,EXECUTED
