experiment_id,artifact_path,sha256,bytes,integrity_status
EXP-XAI-FIDELITY-001,results/xai/stage09_global_importance.csv,5f12947cba249da686f40be258e8e4d2768d1b7e95cda8b82f16f99a7b1a458d,598760,VERIFIED
EXP-XAI-FIDELITY-001,results/xai/stage09_reduced_explanations.csv,c6cf90632e312c90db224c4bae9eb97b714ee2650e8d99dee3bd94f150c4223f,76418,VERIFIED
EXP-XAI-FIDELITY-001,results/xai/stage09_local_samples.csv,22ad693346bf85cbfd98e19b32aa0cbdcb8f47fd13e3bb2034d7ad13b7995829,18713,VERIFIED
EXP-XAI-FIDELITY-001,results/xai/stage09_local_explanations.csv,c335eb82228a06cdee5f326bdebb5e2cf2799e72f6e3cfdf113eb842ff1d2874,3373069,VERIFIED
EXP-XAI-FIDELITY-001,results/xai/stage09_fidelity_prep.csv,cc42321f1cabceb32732d2655b8582b7cf67346665703e735d6ccb8cdd06fba0,569912,VERIFIED
EXP-XAI-FIDELITY-001,results/xai/stage09_manifest.csv,25aa536089868828c9b3a4e0cabf869283fba30aac89b8471cf3b5baa680c89a,1784,VERIFIED
EXP-XAI-FIDELITY-001,results/xai/stage09_feature_map.csv,1c842f9648bde1e065e65fd1e17a8298b7d95295b11969f56f6858cc7d93b022,4308,VERIFIED
EXP-XAI-FIDELITY-001,artifacts/models/BASE-FIXED-C1-001.joblib,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,10617,VERIFIED
EXP-XAI-FIDELITY-001,artifacts/models/BASE-FIXED-C2-001.joblib,65b8c9ae4fed9c9e448a6699dbfa22da5b8c889a9ec357ce57230876bbbf9664,1233954,VERIFIED
EXP-XAI-FIDELITY-001,artifacts/models/BASE-FIXED-C3-001.joblib,4bf3323b86d298b5cb4ab5941ab40d03c10ac4b95104201cee0acddfe5b549c0,151013,VERIFIED
EXP-XAI-FIDELITY-001,artifacts/models/BASE-FIXED-C4-001.joblib,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,265817,VERIFIED
