experiment_id,scope,model_id,method,batch,category,k,metric_name,estimate,ci_low,ci_high,n,unit,bootstrap_repetitions,measurement_type
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,7,ALL,1,selected_minus_random_damage,0.013547088391419016,0.007010148169220292,0.020149954251792813,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,7,ALL,3,selected_minus_random_damage,0.042566588167851735,0.03245288422221916,0.05119119601966025,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,7,ALL,5,selected_minus_random_damage,0.054459878858071686,0.042722067792223935,0.0655157497456415,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,7,ALL,10,selected_minus_random_damage,0.02818361580333247,0.01439886098014948,0.042595348103420486,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,7,ALL,20,selected_minus_random_damage,0.018238413908259043,0.004115069994681752,0.033233095152311966,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,8,ALL,1,selected_minus_random_damage,-0.005234424584173848,-0.016958227109464128,0.0017603535304373046,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,8,ALL,3,selected_minus_random_damage,0.04409589059604131,0.02454864202002386,0.060887691487215935,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,8,ALL,5,selected_minus_random_damage,0.16508137506618656,0.1403251782224467,0.18675646318961422,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,8,ALL,10,selected_minus_random_damage,0.15534149905442704,0.12954729155416803,0.18079584247731065,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,8,ALL,20,selected_minus_random_damage,0.13663257979891383,0.10807241093292905,0.16310246495926078,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,9,ALL,1,selected_minus_random_damage,0.02143559806462496,0.008987459424609606,0.03666268032840513,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,9,ALL,3,selected_minus_random_damage,0.03762946141016756,0.017150821174194354,0.061295130861408954,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,9,ALL,5,selected_minus_random_damage,0.0686921695687773,0.04274635611430083,0.09502659034738613,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,9,ALL,10,selected_minus_random_damage,0.0319530268238316,0.01561830989106832,0.05308229232610734,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,9,ALL,20,selected_minus_random_damage,0.07109366710248251,0.04281102639788051,0.09927885315408322,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,10,ALL,1,selected_minus_random_damage,-0.010498111041542729,-0.013309900515646404,-0.008028265708316272,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,10,ALL,3,selected_minus_random_damage,-0.014237875980504681,-0.018111374754025408,-0.010158476792940255,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,10,ALL,5,selected_minus_random_damage,0.006723444568632009,0.0020365440567922943,0.01156344150839596,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,10,ALL,10,selected_minus_random_damage,0.020531857023949808,0.010543020023734598,0.030672309009527353,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,INTRINSIC_COEFFICIENT,10,ALL,20,selected_minus_random_damage,0.015367548302422382,0.0047002480506619145,0.025590082860142655,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,ALL,1,selected_minus_random_damage,0.04644579168378641,0.03836462825144848,0.0536985632280651,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,ALL,3,selected_minus_random_damage,0.212765543169405,0.1972842846374205,0.2256716466565255,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,ALL,5,selected_minus_random_damage,0.24364364899851915,0.22239093755741068,0.2645960173379333,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,ALL,10,selected_minus_random_damage,0.25598159383735286,0.23231373993207002,0.2791709590244376,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,ALL,20,selected_minus_random_damage,0.10745581880720471,0.0802437934040063,0.1349487512938789,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,ALL,1,selected_minus_random_damage,0.00403194873232021,-0.004071943204331305,0.014567273357294819,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,ALL,3,selected_minus_random_damage,-0.03173505756924106,-0.03892500297121731,-0.023052306545550315,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,ALL,5,selected_minus_random_damage,-0.01278409583342452,-0.022296197351082733,-0.0001486278870837268,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,ALL,10,selected_minus_random_damage,0.0743612610497325,0.05886744582776686,0.09168761695268772,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,ALL,20,selected_minus_random_damage,0.13829756738373142,0.11953448740235671,0.15665629521294708,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,ALL,1,selected_minus_random_damage,0.010898806382217284,0.006913192606296342,0.0171857679715624,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,ALL,3,selected_minus_random_damage,0.0215375244841478,0.008555050277660028,0.035886339597536995,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,ALL,5,selected_minus_random_damage,0.018225807086133836,0.005599210579183876,0.032413814582294684,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,ALL,10,selected_minus_random_damage,0.04115955863000185,0.0260787989991778,0.056765775551087305,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,ALL,20,selected_minus_random_damage,0.04892935575812996,0.034476630477886405,0.06465449525433788,30,macro_f1_proportion,1000,DERIVED
EXP-XAI-FIDELITY-001,GLOBAL_FEATURE,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,5,ALL,1,selected_minus_random_damage,-0.049444232321089646,-0.05752727577343297,-0.04023330858518931,30,macro_f1_proportion,1000,DERIVED
