experiment_id,model_id,method,batch,k,original_macro_f1,deleted_macro_f1,macro_f1_damage,original_balanced_accuracy,deleted_balanced_accuracy,balanced_accuracy_damage,prediction_agreement,bottom_k_damage,random_damage_mean,selected_minus_random,probability_selected_exceeds_random,reference_source,measurement_type
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,2,1,0.6665881787253305,0.6085721037811044,0.058016074944226115,0.7460218843442767,0.7155825118514118,0.03043937249286499,0.9766881028938906,0.006858308177729477,0.008010108469299445,0.050005966474926666,0.9333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,2,3,0.6665881787253305,0.42011254350226324,0.24647563522306726,0.7460218843442767,0.4832967075202246,0.26272517682405216,0.9019292604501608,0.0016811006127366301,0.012622018328346777,0.23385361689472048,1.0,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,2,5,0.6665881787253305,0.389933856225991,0.27665432249933947,0.7460218843442767,0.46253649861472734,0.2834853857295494,0.8689710610932476,0.009574524889761737,0.04590068417583186,0.2307536383235076,1.0,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,2,10,0.6665881787253305,0.3668725474535795,0.299715631271751,0.7460218843442767,0.4254332395176638,0.3205886448266129,0.7821543408360129,0.0010175894705307664,0.07144031388258115,0.22827531738916984,1.0,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,2,20,0.6665881787253305,0.3709979835104775,0.29559019521485297,0.7460218843442767,0.3964016126924585,0.34962027165181825,0.6591639871382636,0.003158559017991891,0.13801166564552178,0.1575785295693312,0.9333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,3,1,0.3820880692098001,0.38337806016736664,-0.0012899909575665447,0.5083371154467045,0.5121727318850606,-0.003835616438356171,0.9918032786885246,0.0,-0.007259477986539828,0.005969487028973284,0.5666666666666667,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,3,3,0.3820880692098001,0.3785313105464218,0.00355675866337829,0.5083371154467045,0.49914174171121334,0.00919537373549112,0.9596469104665826,0.0014754858769308599,-0.010343732883779226,0.013900491547157516,0.8,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,3,5,0.3820880692098001,0.3884155897774269,-0.00632752056762681,0.5083371154467045,0.5046287890554035,0.00370832639130092,0.9369482976040353,-0.00146352502630126,-0.009512669724866403,0.003185149157239593,0.36666666666666664,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,3,10,0.3820880692098001,0.36826467170736565,0.013823397502434442,0.5083371154467045,0.493769447338919,0.01456766810778548,0.935687263556116,-0.011605113794649347,0.004600550681075601,0.009222846821358842,0.6666666666666666,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,3,20,0.3820880692098001,0.483126109373452,-0.10103804016365192,0.5083371154467045,0.5127798919207922,-0.004442776474087751,0.8701134930643127,-0.009339297886797826,-0.0028995765078255447,-0.09813846365582637,0.06666666666666667,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,4,1,0.26335302977638747,0.26664382779490686,-0.003290798018519392,0.36305717054263564,0.3693071705426357,-0.006250000000000033,0.9875776397515528,0.0041337385427077655,-0.0015918378186772163,-0.0016989601998421756,0.13333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,4,3,0.26335302977638747,0.3219047619047619,-0.058551732128374445,0.36305717054263564,0.37243217054263567,-0.009375000000000022,0.9565217391304348,-0.0009611159676419234,-0.012685213223769391,-0.04586651890460505,0.03333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,4,5,0.26335302977638747,0.3129228605378665,-0.04956983076147903,0.36305717054263564,0.36305717054263564,0.0,0.9565217391304348,0.001495937012239823,-0.014032115731652516,-0.035537715029826514,0.16666666666666666,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,4,10,0.26335302977638747,0.31316732890403093,-0.04981429912764346,0.36305717054263564,0.36305717054263564,0.0,0.9503105590062112,-0.002696303572179315,-0.013666375332259166,-0.03614792379538429,0.2,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,4,20,0.26335302977638747,0.27321821036106747,-0.00986518058468,0.36305717054263564,0.32473352713178294,0.038323643410852704,0.9006211180124224,0.007391229353235829,-0.02667448388893545,0.01680930330425545,0.4666666666666667,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,5,1,0.2423622349957525,0.2702498048399688,-0.02788756984421631,0.41500000000000004,0.4,0.015000000000000013,0.9847715736040609,-0.04847244699915049,-0.008205758790892432,-0.019681811053323877,0.23333333333333334,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,5,3,0.2423622349957525,0.26721118727172666,-0.024848952275974168,0.41500000000000004,0.3828571428571429,0.03214285714285714,0.9543147208121827,-0.04847244699915049,-0.0012688082016320435,-0.023580144074342124,0.13333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,5,5,0.2423622349957525,0.21197269602332894,0.030389538972423552,0.41500000000000004,0.33071428571428574,0.0842857142857143,0.883248730964467,-0.02788756984421631,-0.004215977664004719,0.034605516636428274,0.7666666666666667,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,5,10,0.2423622349957525,0.18386853610734208,0.05849369888841041,0.41500000000000004,0.2957142857142857,0.11928571428571433,0.8883248730964467,0.01715406429577848,0.007498654425154558,0.050995044463255854,0.9333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,5,20,0.2423622349957525,0.1795340338053906,0.0628282011903619,0.41500000000000004,0.29071428571428576,0.12428571428571428,0.883248730964467,0.0017359176214676308,0.037386920548565294,0.0254412806417966,0.7333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
