experiment_id,model_id,method,comparison_type,anchor_batch,batch_a,batch_b,n_features,scope,explanation_distance,input_change,model_macro_f1_change,model_output_distribution_change,epsilon,explanation_per_input_change,explanation_per_output_change,unit,status
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,GLOBAL,0.7173496539985647,0.2684168374764425,0.10695796570117641,0.2232686380837972,1e-08,2.6725209715516183,3.212943958568374,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,GLOBAL,0.7173496539985647,0.2684168374764425,0.10695796570117641,0.2232686380837972,1e-06,2.672511114547379,3.2129297120521603,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,GLOBAL,0.7173496539985647,0.2684168374764425,0.10695796570117641,0.2232686380837972,0.0001,2.671525781177499,3.211505698169899,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,GLOBAL,0.6665039745010175,0.24184779125815448,0.2845001095155304,0.2782322027601385,1e-08,2.7558818853580327,2.395495359394653,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,GLOBAL,0.6665039745010175,0.24184779125815448,0.2845001095155304,0.2782322027601385,1e-06,2.755870604247003,2.3954868358238417,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,GLOBAL,0.6665039745010175,0.24184779125815448,0.2845001095155304,0.2782322027601385,0.0001,2.7547429593596426,2.394634784949402,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,GLOBAL,0.7516409275607926,0.41699465315554174,0.4032351489489431,0.3682712163374067,1e-08,1.8025192981436926,2.0409982475039907,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,GLOBAL,0.7516409275607926,0.41699465315554174,0.4032351489489431,0.3682712163374067,1e-06,1.8025150187367214,2.0409927608336003,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,GLOBAL,0.7516409275607926,0.41699465315554174,0.4032351489489431,0.3682712163374067,0.0001,1.8020871806296994,2.040444242723712,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,5,128,GLOBAL,0.4620090629811239,0.5845400841725072,0.424225943729578,0.3845515324049141,1e-08,0.7903804505235145,1.2014229876489504,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,5,128,GLOBAL,0.4620090629811239,0.5845400841725072,0.424225943729578,0.3845515324049141,1e-06,0.7903791119064913,1.2014198946807404,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,5,128,GLOBAL,0.4620090629811239,0.5845400841725072,0.424225943729578,0.3845515324049141,0.0001,0.7902452730983134,1.2011106782613237,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,6,128,GLOBAL,0.5123366531744489,0.007334856708407389,0.42809815575905097,0.34216613322290557,1e-08,69.84948377960258,1.497332986685024,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,6,128,GLOBAL,0.5123366531744489,0.007334856708407389,0.42809815575905097,0.34216613322290557,1e-06,69.84005734289715,1.4973286544172144,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,6,128,GLOBAL,0.5123366531744489,0.007334856708407389,0.42809815575905097,0.34216613322290557,0.0001,68.9100911111165,1.4968955541995812,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,7,128,GLOBAL,0.3139970183860229,0.022845648137155283,0.3599098511616468,0.35005052542557724,1e-08,13.744275454921144,0.8970048224730697,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,7,128,GLOBAL,0.3139970183860229,0.022845648137155283,0.3599098511616468,0.35005052542557724,1e-06,13.743679882537018,0.897002285604324,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,7,128,GLOBAL,0.3139970183860229,0.022845648137155283,0.3599098511616468,0.35005052542557724,0.0001,13.684382176050883,0.8967486711733106,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,8,128,GLOBAL,0.6189196673752733,0.04147754428460959,0.3367326717509722,0.4950109803480068,1e-08,14.921797537250788,1.2503150019763303,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,8,128,GLOBAL,0.6189196673752733,0.04147754428460959,0.3367326717509722,0.4950109803480068,1e-06,14.921441387346864,1.2503125014068468,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,8,128,GLOBAL,0.6189196673752733,0.04147754428460959,0.3367326717509722,0.4950109803480068,0.0001,14.885912047585107,1.250062494958692,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,9,128,GLOBAL,0.576116711048292,0.10068092003730444,0.49683011420920153,0.5465790761066315,1e-08,5.722202912059199,1.0540408985496712,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,9,128,GLOBAL,0.576116711048292,0.10068092003730444,0.49683011420920153,0.5465790761066315,1e-06,5.722146645940309,1.0540389894049087,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,9,128,GLOBAL,0.576116711048292,0.10068092003730444,0.49683011420920153,0.5465790761066315,0.0001,5.716525616505983,1.0538481098477577,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,10,128,GLOBAL,0.37173088522538056,0.16773591743913807,0.3898721485080251,0.4008557070916449,1e-08,2.2161673464992213,0.9273433541684881,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,10,128,GLOBAL,0.37173088522538056,0.16773591743913807,0.3898721485080251,0.4008557070916449,1e-06,2.216154266458724,0.9273410638989121,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,10,128,GLOBAL,0.37173088522538056,0.16773591743913807,0.3898721485080251,0.4008557070916449,0.0001,2.2148470416660393,0.927112094055854,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,2,3,128,GLOBAL,0.6521209783309507,0.24184779125815448,0.04412699076803683,0.2292419147849164,1e-08,2.6964106141897908,2.8446846227748077,ratio_with_components,EXECUTED
