experiment_id,scope,model_id,method,status,reason,sign_agreement,top_k_sign_agreement,sign_flip_frequency,unit
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.4296875,0.8666666666666667,0.5703125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.4375,0.9230769230769231,0.5625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.4296875,0.8666666666666667,0.5703125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.8046875,0.9259259259259259,0.1953125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.59375,0.5714285714285714,0.40625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.7578125,0.9285714285714286,0.2421875,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.5625,0.5142857142857142,0.4375,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.765625,0.9629629629629629,0.234375,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.59375,0.7419354838709677,0.40625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.484375,0.625,0.515625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.765625,0.9285714285714286,0.234375,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.59375,0.7333333333333333,0.40625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.484375,0.5882352941176471,0.515625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.890625,1.0,0.109375,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.71875,0.7931034482758621,0.28125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.8359375,1.0,0.1640625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.890625,0.9285714285714286,0.109375,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.71875,0.8387096774193549,0.28125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.8359375,1.0,0.1640625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.8359375,1.0,0.1640625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.7265625,0.96875,0.2734375,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.5546875,0.4857142857142857,0.4453125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.8359375,1.0,0.1640625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.7265625,0.8,0.2734375,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.5546875,0.5625,0.4453125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.984375,1.0,0.015625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.3046875,0.15625,0.6953125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.984375,1.0,0.015625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.4453125,0.3333333333333333,0.5546875,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.984375,1.0,0.015625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.3203125,0.15625,0.6796875,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.984375,1.0,0.015625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.4453125,0.3225806451612903,0.5546875,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.8046875,0.9259259259259259,0.1953125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.7890625,0.8214285714285714,0.2109375,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.7578125,0.9285714285714286,0.2421875,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.7421875,0.7931034482758621,0.2578125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.390625,0.46875,0.609375,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.4609375,0.5483870967741935,0.5390625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.390625,0.46875,0.609375,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.4609375,0.5483870967741935,0.5390625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.8125,0.9285714285714286,0.1875,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.890625,1.0,0.109375,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.59375,0.7419354838709677,0.40625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.8125,0.8888888888888888,0.1875,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.890625,0.9285714285714286,0.109375,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.59375,0.7333333333333333,0.40625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.9921875,1.0,0.0078125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.8828125,0.9629629629629629,0.1171875,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.9921875,1.0,0.0078125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.8828125,0.9629629629629629,0.1171875,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.9921875,1.0,0.0078125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.9921875,1.0,0.0078125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.9921875,1.0,0.0078125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.9921875,1.0,0.0078125,proportion
