experiment_id,scope,model_id,method,comparison,category,metric_name,estimate,ci_low,ci_high,n,resampling_unit,unit,status
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,ALL,jaccard_at_5,0.10416666666666667,0.041666666666666664,0.1701388888888889,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,ALL,jaccard_at_10,0.2409188034188034,0.13194444444444445,0.3443376068376068,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,ALL,jaccard_at_20,0.1981850046959155,0.12719263016790294,0.2623175690730838,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,ALL,spearman,0.026015157165766203,-0.20142725801411387,0.2474980744652421,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,ALL,kendall_tau_b,0.017351059246144135,-0.14694267105028364,0.17875049834161014,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,ALL,jaccard_at_5,0.07291666666666666,0.013888888888888888,0.13541666666666669,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,ALL,jaccard_at_10,0.1324389404884761,0.049105607155142755,0.22808845029239763,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,ALL,jaccard_at_20,0.15385007018071534,0.08100233100233101,0.2297956299972429,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,ALL,spearman,0.06880603535765079,-0.015893440873077442,0.1418496757083286,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,ALL,kendall_tau_b,0.05100120345264384,-0.013051504944653219,0.10527138751860274,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,ALL,jaccard_at_5,0.09871031746031747,0.013888888888888888,0.20598958333333323,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,ALL,jaccard_at_10,0.07377665978672171,0.019590643274853808,0.12969771241830066,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,ALL,jaccard_at_20,0.14379956581968967,0.090703706802778,0.198584032949358,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,ALL,spearman,0.04971965739212783,-0.09177713930568386,0.19581684962462398,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,ALL,kendall_tau_b,0.035013011428319654,-0.06422543367777206,0.13187156795780813,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,ALL,jaccard_at_5,0.07291666666666666,0.013888888888888888,0.13194444444444445,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,ALL,jaccard_at_10,0.09163226694186447,0.04910560715514276,0.1307619539043688,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,GLOBAL_RANK,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,ALL,jaccard_at_20,0.13793115041180057,0.09713472871367608,0.18016177665945468,8,chronological_batch_pair,correlation_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,explanation_distance,0.17819611593409493,0.13790149228922735,0.21818834969483628,32,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,jaccard_at_10,0.5207037007540103,0.4315298843743116,0.6109059649500825,32,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,sign_agreement,0.760986328125,0.662823486328125,0.85009765625,32,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,WITHIN_CONTEXT,MISCLASSIFIED,explanation_distance,0.14110770316281177,0.09442095424615222,0.1937131439961138,35,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,WITHIN_CONTEXT,MISCLASSIFIED,jaccard_at_10,0.7056382214276951,0.6098961564751039,0.7842160471107839,35,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,WITHIN_CONTEXT,MISCLASSIFIED,sign_agreement,0.8763392857142858,0.8146763392857144,0.9259095982142858,35,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,WITHIN_CONTEXT,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",explanation_distance,0.07873655393923425,0.07542645485054333,0.08379673817364765,3,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,WITHIN_CONTEXT,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",jaccard_at_10,0.8181818181818182,0.8181818181818182,0.8181818181818182,3,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,WITHIN_CONTEXT,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",sign_agreement,1.0,1.0,1.0,3,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,WITHIN_CONTEXT,NEAR_DECISION_BOUNDARY,explanation_distance,0.21783714463310525,0.15572091283118356,0.27611774026102015,28,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,WITHIN_CONTEXT,NEAR_DECISION_BOUNDARY,jaccard_at_10,0.47160158996735735,0.33478147615628273,0.6031481651671831,28,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,WITHIN_CONTEXT,NEAR_DECISION_BOUNDARY,sign_agreement,0.6623883928571429,0.5460170200892857,0.7776715959821429,28,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,explanation_distance,0.2378318288832489,0.18902821972157166,0.285943002408585,32,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,jaccard_at_10,0.49718265802824624,0.41451356930447003,0.592031635643768,32,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,sign_agreement,0.752197265625,0.67135009765625,0.832763671875,32,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,MISCLASSIFIED,explanation_distance,0.16041415178279175,0.11219351427099375,0.21454442158339654,35,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,MISCLASSIFIED,jaccard_at_10,0.659955730543966,0.571079900491665,0.7413078098372214,35,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,MISCLASSIFIED,sign_agreement,0.8707589285714286,0.8160602678571428,0.9192020089285714,35,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",explanation_distance,0.08816876893072427,0.07502139641078315,0.10234410862209015,3,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",jaccard_at_10,0.6239316239316239,0.5384615384615384,0.6666666666666666,3,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",sign_agreement,0.9895833333333334,0.984375,0.9921875,3,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,NEAR_DECISION_BOUNDARY,explanation_distance,0.24445862548264552,0.1819347869813048,0.3045506047764928,28,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,NEAR_DECISION_BOUNDARY,jaccard_at_10,0.489787173610703,0.3383961626608685,0.648244372049519,28,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,NEAR_DECISION_BOUNDARY,sign_agreement,0.6849888392857143,0.5800571986607143,0.7854422433035715,28,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,explanation_distance,0.2894721155839846,0.1986203104716988,0.38597692421964735,28,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,jaccard_at_10,0.5842741218681068,0.4608781725793004,0.6990352535935243,28,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,sign_agreement,0.6573856252198661,0.5514111346137232,0.7571967322798081,28,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,MISCLASSIFIED,explanation_distance,0.32450088775564007,0.24380602480777117,0.41941243412225687,41,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,MISCLASSIFIED,jaccard_at_10,0.5328954859650322,0.4374403405311244,0.624917074816078,41,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,MISCLASSIFIED,sign_agreement,0.6014813140354272,0.49731194547636504,0.7075815637092475,41,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",explanation_distance,0.16314199524398929,0.09165473605977026,0.28833071690214546,3,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",jaccard_at_10,0.7676767676767677,0.6666666666666666,0.8181818181818182,3,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY",sign_agreement,0.810391363022942,0.6153846153846154,0.9473684210526315,3,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,NEAR_DECISION_BOUNDARY,explanation_distance,0.21271042080424835,0.149646056394167,0.279949085778418,25,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,NEAR_DECISION_BOUNDARY,jaccard_at_10,0.6942508471920236,0.5836421225832991,0.7996908581614464,25,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,NEAR_DECISION_BOUNDARY,sign_agreement,0.7262248463599082,0.6417373936526265,0.8041396052553097,25,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,explanation_distance,0.23747456659001753,0.18109703718895687,0.299551673245043,32,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,jaccard_at_10,0.48030711870688647,0.3672555246852605,0.591967431755551,32,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,sign_agreement,0.739990234375,0.65648193359375,0.821063232421875,32,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,MISCLASSIFIED,explanation_distance,0.15992970769096435,0.10082552362666262,0.21896605985458284,33,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,MISCLASSIFIED,jaccard_at_10,0.6565379560031968,0.5233141091429862,0.775727174390276,33,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,MISCLASSIFIED,sign_agreement,0.7916666666666666,0.744038318452381,0.8426339285714286,33,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,NEAR_DECISION_BOUNDARY,explanation_distance,0.19130264157091634,0.15313385113717926,0.23208561699730465,25,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,NEAR_DECISION_BOUNDARY,jaccard_at_10,0.5386664316076081,0.45067719045660226,0.6231233227556756,25,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C3,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,NEAR_DECISION_BOUNDARY,sign_agreement,0.5559375,0.4068671875,0.717234375,25,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C4,SINGLE_FEATURE_ABLATION_LOCAL,WITHIN_CONTEXT,CORRECT_REPRESENTATIVE,explanation_distance,0.2814595957096294,0.22668015488759655,0.3381333787433169,32,center_neighbor_pair,normalized_distance_or_proportion,DERIVED
