experiment_id,model_id,method,comparison_type,anchor_batch,batch_a,batch_b,n_features,cosine_similarity,normalized_l1_distance,unit,status
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,8,128,0.38970431380708476,0.6490334068318548,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,9,128,0.40406782904548727,0.6224517618267789,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,10,128,0.3288076995655837,0.5976940420935075,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,2,3,128,0.454821560336569,0.5443832042412158,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,4,128,0.7432080802057381,0.4819356492162073,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,4,5,128,0.48364819025489864,0.5029136791101178,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,5,6,128,0.7239865291262028,0.3651080447199384,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,6,7,128,0.6190278681656451,0.41627131516747695,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,7,8,128,0.667951126053548,0.4123874228025466,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,8,9,128,0.612288011559544,0.4521213003846415,similarity_or_normalized_distance,EXECUTED
