experiment_id,model_id,method,comparison_type,anchor_batch,batch_a,batch_b,n_features,spearman,kendall_tau_b,jaccard_at_5,jaccard_at_10,jaccard_at_20,unit,status
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,0.3431154887220522,0.24718446409830805,0.25,0.25,0.2903225806451613,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,5,128,0.005052058942309147,0.001997858998385122,0.1111111111111111,0.25,0.17647058823529413,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,6,128,0.04064828945667624,0.027559297377504743,0.0,0.1111111111111111,0.08108108108108109,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,7,128,-0.22228328249212018,-0.15257426896740262,0.0,0.0,0.1111111111111111,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,8,128,0.20100048417010205,0.13953031895116114,0.0,0.05263157894736842,0.17647058823529413,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,9,128,0.21402321677705496,0.14966052889622516,0.0,0.05263157894736842,0.14285714285714285,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,10,128,0.06858804588978257,0.04639704452888187,0.25,0.25,0.17647058823529413,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,2,3,128,0.5594728529573338,0.4121555118110237,0.1111111111111111,0.3333333333333333,0.21212121212121213,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,4,128,0.03800090210414865,0.02530282541574018,0.0,0.0,0.0,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,4,5,128,0.4450933178644661,0.2838691417413881,0.0,0.1111111111111111,0.1111111111111111,correlation_or_proportion,EXECUTED
