experiment_id,model_id,method,batch,sensor_k,selected_sensors,features_altered,macro_f1_damage,random_damage_mean,selected_minus_random,unit
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,4,1,[1],8,0.20347396108577304,0.060797821978151825,0.14267613910762122,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,4,2,"[1, 2]",16,0.2832805851148464,0.10361331709941952,0.17966726801542687,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,4,3,"[1, 2, 10]",24,0.41120709180685555,0.14387174495001445,0.2673353468568411,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,5,1,[1],8,0.19012411012411007,0.03809283475198397,0.1520312753721261,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,5,2,"[1, 2]",16,0.26369509198777485,0.06524789319076708,0.19844719879700778,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,5,3,"[1, 2, 10]",24,0.40188479388479387,0.13135801916617976,0.2705267747186141,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,6,1,[1],8,0.16363032754769521,0.005218633744641967,0.15841169380305326,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,6,2,"[1, 2]",16,0.28411164554951335,0.04767125032904416,0.2364403952204692,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,6,3,"[1, 2, 10]",24,0.2880431605036647,0.08236728390860576,0.20567587659505893,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,7,1,[1],8,0.14177552623496065,0.020183244322274488,0.12159228191268616,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,7,2,"[1, 2]",16,0.18599484098050187,0.028176332511454346,0.15781850846904752,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,7,3,"[1, 2, 10]",24,0.22772937944843397,0.06951944095510171,0.15820993849333226,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,8,1,[1],8,0.14688016337139143,-0.008123140864499967,0.1550033042358914,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,8,2,"[1, 2]",16,0.14688016337139143,0.001896459225318997,0.14498370414607242,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,8,3,"[1, 2, 10]",24,0.14688016337139143,0.02605346289550599,0.12082670047588544,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,9,1,[1],8,0.2786451387755507,0.07427105478055333,0.20437408399499735,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,9,2,"[1, 2]",16,0.2885714478317758,0.10484419423250452,0.18372725359927128,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,9,3,"[1, 2, 10]",24,0.2885714478317758,0.14336505532111493,0.14520639251066086,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,10,1,[1],8,0.1264285429537548,0.01766925339679051,0.10875928955696429,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,10,2,"[1, 2]",16,0.167405933104547,0.025080155758687956,0.14232577734585902,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,10,3,"[1, 2, 10]",24,0.13877005197453413,0.05581180355109361,0.08295824842344052,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,1,[2],8,0.24864228509953895,0.08297280025327215,0.1656694848462668,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,2,"[2, 7]",16,0.35761927951252886,0.16936873932925503,0.18825054018327383,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,3,"[2, 7, 16]",24,0.3666270930985969,0.23914628140899197,0.12748081168960496,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,1,[4],8,-0.07181689605768876,-0.02398010324068709,-0.04783679281700167,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,2,"[4, 12]",16,-0.07633724465887659,0.0049119549214214405,-0.08124919958029803,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,3,"[4, 12, 11]",24,0.035371104249276364,0.03129061745459265,0.004080486794683716,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,1,[4],8,0.010807555661652757,-0.03176638954270504,0.042573945204357797,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,2,"[4, 12]",16,-0.06533383891048122,-0.004778002539428862,-0.060555836371052364,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,3,"[4, 12, 11]",24,-0.05808464302082372,-0.0159526492370448,-0.04213199378377892,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,5,1,[12],8,0.020950865222710113,-0.01111081485982775,0.03206168008253786,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,5,2,"[12, 16]",16,0.03625571177429629,0.005611493070066636,0.030644218704229655,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,5,3,"[12, 16, 14]",24,-0.07420141089214694,0.002713439525545024,-0.07691485041769196,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,6,1,[14],8,0.024968275947821583,0.007662361629049746,0.017305914318771837,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,6,2,"[14, 13]",16,-0.04730762482571543,3.20333999151536e-05,-0.04733965822563058,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,6,3,"[14, 13, 7]",24,0.0020970872982050415,0.005254302146496025,-0.0031572148482909837,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,1,[7],8,0.0588130980982115,0.035399911340114644,0.02341318675809686,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,2,"[7, 16]",16,0.07162303869616685,0.04240770642175605,0.029215332274410796,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,3,"[7, 16, 15]",24,0.08286014535874339,0.042219291954029,0.04064085340471439,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,8,1,[13],8,0.16141021250170104,0.03914697593443409,0.12226323656726695,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,8,2,"[13, 14]",16,0.14245141849843343,0.09408789334648174,0.04836352515195169,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,8,3,"[13, 14, 5]",24,0.13163526879260176,0.12082172935350387,0.010813539439097894,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,9,1,[7],8,-0.18756090820630847,-0.07747298666234945,-0.11008792154395902,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,9,2,"[7, 16]",16,-0.17281382873707676,-0.06347550403105133,-0.10933832470602543,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,9,3,"[7, 16, 8]",24,-0.03989850114043661,-0.07121126287337458,0.03131276173293797,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,10,1,[9],8,-0.050713376226915075,-0.000782055482533144,-0.04993132074438193,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,10,2,"[9, 13]",16,-0.031051029044026235,0.02129985515355953,-0.05235088419758577,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,10,3,"[9, 13, 4]",24,-0.00813173391542138,0.0368285903806574,-0.04496032429607878,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,1,[1],8,0.25249671434268295,0.03984553780159912,0.21265117654108384,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,2,"[1, 3]",16,0.31307986570836305,0.04715258002189751,0.2659272856864655,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,3,"[1, 3, 2]",24,0.47116044583993544,0.12241718543729403,0.3487432604026414,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,3,1,[9],8,0.1922198790020616,0.07803833279165433,0.11418154621040728,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,3,2,"[9, 10]",16,0.26691963594393614,0.14410352490678424,0.1228161110371519,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,3,3,"[9, 10, 1]",24,0.5605597294586617,0.20128354660867429,0.3592761828499874,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,1,[2],8,0.17946343944781856,0.059761121673009544,0.11970231777480903,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,2,"[2, 1]",16,0.2832805851148464,0.0687435171058199,0.2145370680090265,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,3,"[2, 1, 9]",24,0.41120709180685555,0.16355024755930547,0.24765684424755008,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,5,1,[1],8,0.19012411012411007,0.048456616595562114,0.14166749352854796,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,5,2,"[1, 10]",16,0.4012121212121212,0.07880114906558906,0.32241097214653214,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,5,3,"[1, 10, 9]",24,0.40188479388479387,0.09191877281270129,0.3099660210720926,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,6,1,[1],8,0.16363032754769521,0.0028744919531499,0.16075583559454532,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,6,2,"[1, 4]",16,0.16549441161764725,0.05860430484352604,0.10689010677412121,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,6,3,"[1, 4, 10]",24,0.3194584403638708,0.09454858747555675,0.22490985288831403,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,7,1,[10],8,0.026871810564948806,0.022143824992764474,0.004727985572184332,macro_f1_proportion
