model_id,method,scope,batch,phase,feature_count,sample_count,prediction_calls,batch_size,environment_id,median_ns,mean_ns,p95_ns,p99_ns,iqr_ns,min_ns,max_ns,std_ns,cv,n,experiment_id,median_us,p95_us,unit,variance_flag,scientific_scope,baseline_median_us,explanation_overhead_ratio,overhead_numerator_us,overhead_denominator_us,ratio_scope
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,6,TOP_K_REDUCTION_K5,128,1,0,1,HOST-STAGE12-001,5000.0,5086.888888888889,5300.0,6650.999999999999,200.0,4700.0,11600.0,524.6966340493591,0.1031468635368536,450,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.6,,,,NOT_APPLICABLE
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,EXPLANATION_COMPUTE,128,1,1,1,HOST-STAGE12-001,445000.0,450009.8333333333,467960.0,591917.9999999999,10550.0,429600.0,780200.0,28274.7063350995,0.0628313077642366,600,EXP-XAI-LATENCY-001,445.0,467.9599999999999,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,1.4073371283997471,445.0,316.2,LOCAL_MATCHED_MODEL_BATCH_ONLY
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,SERIALIZATION_JSON,128,1,0,1,HOST-STAGE12-001,61000.0,62247.0,69184.99999999993,86309.99999999999,1400.0,58200.0,125200.0,5930.056234548554,0.0952665387014402,600,EXP-XAI-LATENCY-001,61.0,69.18499999999993,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,,,,NOT_APPLICABLE
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K1,128,1,0,1,HOST-STAGE12-001,5000.0,5233.0,6200.0,9801.0,200.0,4600.0,12900.0,962.0743101741996,0.1838475654833173,600,EXP-XAI-LATENCY-001,5.0,6.2,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,,,,NOT_APPLICABLE
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K10,128,1,0,1,HOST-STAGE12-001,5000.0,5039.833333333333,5400.0,5900.999999999999,200.0,4700.0,10500.0,297.7881268671749,0.0590868997388488,600,EXP-XAI-LATENCY-001,5.0,5.4,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,,,,NOT_APPLICABLE
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K20,128,1,0,1,HOST-STAGE12-001,5000.0,5036.333333333333,5400.0,5600.999999999999,200.0,4700.0,10600.0,283.6323342944484,0.0563172283330032,600,EXP-XAI-LATENCY-001,5.0,5.4,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,,,,NOT_APPLICABLE
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K3,128,1,0,1,HOST-STAGE12-001,5000.0,5006.5,5300.0,6000.999999999999,200.0,4700.0,6800.0,205.3729455029905,0.0410212614606991,600,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,,,,NOT_APPLICABLE
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K5,128,1,0,1,HOST-STAGE12-001,5000.0,5106.166666666667,5300.0,6344.999999999959,200.0,4700.0,19000.0,1024.6764897941125,0.2006743133715662,600,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,2,EXPLANATION_COMPUTE,128,129,129,1,HOST-STAGE12-001,40892800.0,41139780.0,41754340.0,41786868.0,854700.0,40682400.0,41795000.0,516229.66013199976,0.0125481871835969,5,EXP-XAI-LATENCY-001,40892.8,41754.34,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,314.95,129.83902206699477,40892.8,314.95,LOCAL_MATCHED_MODEL_BATCH_ONLY
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,6,EXPLANATION_COMPUTE,128,129,129,1,HOST-STAGE12-001,39936900.0,39848560.0,40232000.0,40284160.0,267800.0,39334100.0,40297200.0,357023.4208003727,0.0089595062105223,5,EXP-XAI-LATENCY-001,39936.9,40232.0,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.6,126.14308275426406,39936.9,316.6,LOCAL_MATCHED_MODEL_BATCH_ONLY
