experiment_id,source_experiment_id,model_id,method,comparison,batch_a,batch_b,batch_gap,n_features,spearman_rank_correlation,kendall_rank_correlation,importance_cosine_similarity,top_1_jaccard,top_3_jaccard,top_5_jaccard,top_10_jaccard
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,1,128,0.15529436000732466,0.10999015748031499,0.15751707330427214,0.0,0.0,0.0,0.1111111111111111
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,3,4,1,128,0.18479902948177987,0.12967519685039372,0.3112139607368205,0.0,0.0,0.0,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,4,5,1,128,0.003542162607581029,0.006397637795275592,0.3627817208747333,0.0,0.2,0.1111111111111111,0.25
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,5,6,1,128,0.2191448452664347,0.18159448818897642,0.1305862081249981,0.0,0.2,0.1111111111111111,0.25
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,6,7,1,128,0.011193004944149421,0.008120078740157482,-0.15551574577232405,0.0,0.2,0.1111111111111111,0.42857142857142855
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,7,8,1,128,-0.07099203442592932,-0.050935039370078754,0.07367381033574702,0.0,0.0,0.0,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,8,9,1,128,0.5418879326130746,0.4119094488188977,0.515398176927406,0.0,0.2,0.25,0.25
EXP-STAB-0001,EXP-XAI-0001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,9,10,1,128,-0.1931251144479033,-0.12623031496062995,-0.20765133482386855,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,2,0,128,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,3,1,128,0.5594728529573338,0.4121555118110237,0.32533133948749104,0.0,0.0,0.1111111111111111,0.3333333333333333
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,4,2,128,0.029144158579014832,0.014517716535433075,0.07568638870988346,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,5,3,128,0.24247505035707748,0.1754429133858268,0.5968569356830624,0.0,0.0,0.1111111111111111,0.1111111111111111
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,6,4,128,0.05784769273026917,0.03740157480314961,-0.2236804308068298,0.0,0.2,0.25,0.3333333333333333
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,7,5,128,0.2757221662699139,0.1813484251968504,0.5785160174616406,0.0,0.0,0.1111111111111111,0.17647058823529413
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,8,6,128,-0.22254967039003845,-0.15231299212598426,-0.025975013619636028,0.0,0.0,0.0,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,9,7,128,-0.5421111060245376,-0.38976377952755914,-0.6339024443091391,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,10,8,128,-0.18059306903497527,-0.12475393700787403,0.2052886014375219,0.0,0.0,0.0,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,1,128,0.5594728529573338,0.4121555118110237,0.32533133948749104,0.0,0.0,0.1111111111111111,0.3333333333333333
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,3,4,1,128,0.04315830433986449,0.03149606299212599,0.5544492417723659,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,4,5,1,128,0.4529161325764512,0.2942913385826772,0.2224819194067475,0.0,0.0,0.0,0.1111111111111111
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,5,6,1,128,-0.25551066654458887,-0.18725393700787404,-0.4789193545335756,0.0,0.0,0.1111111111111111,0.25
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,6,7,1,128,-0.06598493865592382,-0.0218996062992126,-0.29278228893323266,0.0,0.0,0.25,0.3333333333333333
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,7,8,1,128,0.2768552005127266,0.21161417322834647,0.4102830783091595,0.0,0.2,0.1111111111111111,0.25
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,8,9,1,128,0.29960744369163156,0.21186023622047248,0.4543533045572255,0.0,0.5,0.25,0.5384615384615384
EXP-STAB-0001,EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,9,10,1,128,0.11001876945614356,0.05684055118110237,-0.13932385548589932,0.0,0.0,0.0,0.1111111111111111
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,2,0,128,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0
