experiment_id,model_id,method,comparison_type,anchor_batch,batch_a,batch_b,n_features,sensor_spearman,sensor_kendall_tau_b,jaccard_at_1,jaccard_at_3,jaccard_at_5,sensor_importance_l1_distance,input_change,unit,status
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,8,9,128,0.4088235294117647,0.33333333333333337,1.0,0.5,0.25,0.17420067468101047,0.05920337575269485,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,0.4911764705882353,0.33333333333333337,0.0,0.2,0.42857142857142855,0.22422590341358278,0.2684168374764425,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,0.4441176470588235,0.2833333333333333,0.0,0.2,0.6666666666666666,0.366694483167422,0.24184779125815448,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,0.5617647058823529,0.43333333333333335,0.0,0.5,0.42857142857142855,0.27739811457856783,0.41699465315554174,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,5,128,0.6125502958318992,0.45769286494404704,1.0,0.2,0.6666666666666666,0.327270699560264,0.5845400841725072,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,6,128,0.5352941176470588,0.3666666666666667,1.0,0.2,0.42857142857142855,0.1878880183201145,0.007334856708407389,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,7,128,0.7235294117647059,0.5,0.0,0.5,0.6666666666666666,0.18757321209693384,0.022845648137155283,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,8,128,0.15294117647058825,0.09999999999999999,0.0,0.2,0.42857142857142855,0.2718936232416174,0.04147754428460959,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,9,128,0.2441176470588235,0.19999999999999998,0.0,0.0,0.25,0.2841742181861445,0.10068092003730444,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,10,128,0.4823529411764706,0.33333333333333337,0.0,0.2,0.42857142857142855,0.24145728481356865,0.16773591743913807,correlation_or_normalized_distance,EXECUTED
