experiment_id,model_id,method,scope,batch,phase,metric_name,estimate,ci_low,ci_high,n,bootstrap_repetitions,resampling_unit,unit,measurement_type
EXP-XAI-LATENCY-001,MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,6,TOP_K_REDUCTION_K20,median_host_wall_time_ns,5000.0,5000.0,5000.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,6,TOP_K_REDUCTION_K3,median_host_wall_time_ns,5000.0,5000.0,5000.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,6,TOP_K_REDUCTION_K5,median_host_wall_time_ns,5000.0,5000.0,5000.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,EXPLANATION_COMPUTE,median_host_wall_time_ns,445000.0,444200.0,446200.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,SERIALIZATION_JSON,median_host_wall_time_ns,61000.0,60900.0,61000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K1,median_host_wall_time_ns,5000.0,5000.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K10,median_host_wall_time_ns,5000.0,5000.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K20,median_host_wall_time_ns,5000.0,5000.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K3,median_host_wall_time_ns,5000.0,5000.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K5,median_host_wall_time_ns,5000.0,5000.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,MODEL,MODEL,,MODEL_LOAD,median_host_wall_time_ns,484100.0,471900.0,492800.0,9,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2,GLOBAL_EXPLANATION_TOTAL,median_host_wall_time_ns,1330028700.0,1324052400.0,1377935400.0,3,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6,GLOBAL_EXPLANATION_TOTAL,median_host_wall_time_ns,1315073600.0,1307397900.0,1344190400.0,3,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10,GLOBAL_EXPLANATION_TOTAL,median_host_wall_time_ns,1320504300.0,1306161100.0,1335815400.0,3,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,2,EXPLANATION_COMPUTE,median_host_wall_time_ns,40892800.0,40682400.0,41795000.0,5,1000,timing_replicate,nanoseconds,MEASURED_HOST
