experiment_id,model_id,method,batch,feature_index,feature_name,importance,importance_std,rank,status
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,0,S1:dR,0.0,0.0,39,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,1,S1:dR_norm,-8.660536978815636e-05,0.0001732107395763127,71,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,2,S1:EMAi_0.001,0.0,0.0,40,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,3,S1:EMAi_0.01,0.0,0.0,41,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,4,S1:EMAi_0.1,0.0,0.0,42,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,5,S1:EMAd_0.001,-2.817825221952397e-05,5.635650443904794e-05,61,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,6,S1:EMAd_0.01,-2.817825221952397e-05,5.635650443904794e-05,62,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,7,S1:EMAd_0.1,0.0,0.0,43,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,8,S2:dR,-0.00016975908205713042,5.773564191902114e-05,87,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,9,S2:dR_norm,0.00020752061558948487,0.0006287504313098503,24,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,10,S2:EMAi_0.001,-0.00011271300887809588,5.635650443904794e-05,73,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,11,S2:EMAi_0.01,-2.8865997718630077e-05,0.00010433375750880355,64,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,12,S2:EMAi_0.1,-0.00011271300887809588,5.635650443904794e-05,74,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,13,S2:EMAd_0.001,-0.00011340257761808248,0.00010654232350002825,81,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,14,S2:EMAd_0.01,8.247152016125359e-05,6.733771423557557e-05,27,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,15,S2:EMAd_0.1,0.0,0.0,44,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,16,S3:dR,0.000924339006637065,0.00030701687470918807,6,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,17,S3:dR_norm,0.00010927602134624959,0.00010176330465070486,25,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,18,S3:EMAi_0.001,-0.00022749472397615156,7.071143133682237e-05,92,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,19,S3:EMAi_0.01,-0.0004097092593306706,0.0002905690947351965,98,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,20,S3:EMAi_0.1,-0.00011271300887809588,5.635650443904794e-05,75,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,21,S3:EMAd_0.001,-0.0002873067838392862,0.00016191544671025356,95,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,22,S3:EMAd_0.01,-0.00014158082983760644,9.020171517460275e-05,84,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,23,S3:EMAd_0.1,0.0004007102550406483,0.00011528816679744994,17,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,24,S4:dR,0.0005162942322648134,0.00035729809806971834,14,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,25,S4:dR_norm,0.0,0.0,45,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,26,S4:EMAi_0.001,-0.00011271300887809588,5.635650443904794e-05,76,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,27,S4:EMAi_0.01,-0.00020000794740623884,0.00014734545348353854,91,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,28,S4:EMAi_0.1,0.0,0.0,46,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,29,S4:EMAd_0.001,-2.817825221952397e-05,5.635650443904794e-05,63,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,30,S4:EMAd_0.01,2.6802761221311756e-05,0.00010396615352653132,36,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,31,S4:EMAd_0.1,0.00024330018432409118,0.00013174683615756695,23,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,32,S5:dR,0.0009806181378066714,8.393157340329427e-05,3,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,33,S5:dR_norm,0.0004522692786762983,0.00010038695127410068,15,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,34,S5:EMAi_0.001,-0.0006785288263347567,0.00015768174887762586,109,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,35,S5:EMAi_0.01,-0.002968171871994335,0.0006201403461850528,126,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,36,S5:EMAi_0.1,0.0015546275921828167,0.00034776548155333257,1,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,37,S5:EMAd_0.001,8.247152016125359e-05,6.733771423557557e-05,28,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,38,S5:EMAd_0.01,2.7490506720417863e-05,5.4981013440835726e-05,35,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,39,S5:EMAd_0.1,0.0014019568796940884,0.00013041753769706097,2,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,40,S6:dR,0.000795466152164237,0.00011422286030182456,10,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,41,S6:dR_norm,0.00034983549763437647,6.398104612454663e-05,20,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,42,S6:EMAi_0.001,-0.0006173277576583591,0.0001801112873855162,105,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,43,S6:EMAi_0.01,-0.0016040176189715094,0.0002555678026766925,123,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,44,S6:EMAi_0.1,2.4051695947691075e-05,0.00020484110123022756,38,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,45,S6:EMAd_0.001,5.4981013440835726e-05,6.733771423557559e-05,32,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,46,S6:EMAd_0.01,5.4981013440835726e-05,6.733771423557559e-05,33,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,47,S6:EMAd_0.1,0.0004013930290399481,8.152390374664624e-05,16,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,48,S7:dR,0.000525856205747216,0.00017748772474684844,13,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,49,S7:dR_norm,-0.0013771599978349368,0.002612998328234157,121,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,50,S7:EMAi_0.001,-0.0008733139305412863,0.00034132343942254337,115,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,51,S7:EMAi_0.01,-0.0014394762934550776,0.0004475368349992675,122,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,52,S7:EMAi_0.1,-0.0005272608590177307,0.00022828198941160857,104,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,53,S7:EMAd_0.001,-0.0008381633423201085,0.00025690381836235347,114,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,54,S7:EMAd_0.01,-0.0007129747152538002,0.00027333284191522866,110,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,55,S7:EMAd_0.1,-0.0004976995714133292,0.0002460998294737523,103,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,56,S8:dR,0.0008636284781539716,0.00016919345694024524,8,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,57,S8:dR_norm,-8.797539067217919e-05,0.00020859694196113083,72,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,58,S8:EMAi_0.001,-0.0006250210569029524,0.00038398841592434123,106,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,59,S8:EMAi_0.01,-0.0012671478422979165,0.0003860388696983532,119,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,60,S8:EMAi_0.1,-0.0003182550892616709,0.00022006839402757128,96,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,61,S8:EMAd_0.001,-0.0007439230206761849,0.00026566318212369337,111,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,62,S8:EMAd_0.01,-0.0007467276520873756,0.000337314150964627,112,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,63,S8:EMAd_0.1,0.00029691084374694476,9.883344603197862e-05,22,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,64,S9:dR,-8.453475665857191e-05,6.902233978128128e-05,68,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,65,S9:dR_norm,-0.00017182969518671486,0.00016798317787573714,90,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,66,S9:EMAi_0.001,-0.00011271300887809588,5.635650443904794e-05,77,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,67,S9:EMAi_0.01,-5.635650443904794e-05,6.902233978128128e-05,66,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,68,S9:EMAi_0.1,-0.00011271300887809588,5.635650443904794e-05,78,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,69,S9:EMAd_0.001,0.0,0.0,47,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,70,S9:EMAd_0.01,0.0,0.0,48,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,71,S9:EMAd_0.1,0.0,0.0,49,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,72,S10:dR,0.0,0.0,50,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,73,S10:dR_norm,-0.00025774358932526,0.0001410124445560204,93,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,74,S10:EMAi_0.001,0.0,0.0,51,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,75,S10:EMAi_0.01,0.0,0.0,52,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,76,S10:EMAi_0.1,0.0,0.0,53,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,77,S10:EMAd_0.001,0.0,0.0,54,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,78,S10:EMAd_0.01,0.0,0.0,55,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,79,S10:EMAd_0.1,0.0,0.0,56,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,80,S11:dR,0.000933144229867272,0.00015692164945535942,4,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,81,S11:dR_norm,-5.635650443904794e-05,6.902233978128128e-05,67,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,82,S11:EMAi_0.001,-0.00014158082983760644,9.020171517460275e-05,85,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,83,S11:EMAi_0.01,-0.00026120901608263635,0.00025537223318565917,94,EXECUTED
EXP-XAI-0001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,84,S11:EMAi_0.1,-8.453475665857191e-05,6.902233978128128e-05,69,EXECUTED
