experiment_id,model_id,method,batch,feature_index,feature_name,importance,importance_std,rank,status
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,62,S8:EMAd_0.01,0.028062049858213055,0.003116193179113249,11,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,63,S8:EMAd_0.1,0.00441951169380519,0.0009116741235735144,56,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,64,S9:dR,0.002252316677676014,0.0009680950688226671,66,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,65,S9:dR_norm,0.008490217926100396,0.0020795766158974915,43,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,66,S9:EMAi_0.001,-0.0023530749448084755,0.0002935201677525167,93,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,67,S9:EMAi_0.01,-0.0032342666173515665,0.0007608948131879198,98,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,68,S9:EMAi_0.1,-0.0019707818229511287,0.0006553705171726517,91,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,69,S9:EMAd_0.001,0.003987288259533028,0.001204147190315654,58,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,70,S9:EMAd_0.01,0.002688011481358732,0.0008504705761734794,63,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,71,S9:EMAd_0.1,-0.006982561967393231,0.00045029293130929556,113,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,72,S10:dR,0.003563599981718013,0.0012644370938737993,62,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,73,S10:dR_norm,0.015032118249661408,0.0020874176648202525,30,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,74,S10:EMAi_0.001,1.4953770024983549e-05,1.8314553146067874e-05,77,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,75,S10:EMAi_0.01,7.476885012491774e-06,1.4953770024983547e-05,79,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,76,S10:EMAi_0.1,1.4953770024983549e-05,1.8314553146067874e-05,78,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,77,S10:EMAd_0.001,0.005940528702607662,0.001183491358059306,49,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,78,S10:EMAd_0.01,0.004887027644917974,0.0011185849004417812,55,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,79,S10:EMAd_0.1,-0.0013356441153946409,0.0005106474241703738,87,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,80,S11:dR,-0.00421866012152301,0.0010067011717518374,103,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,81,S11:dR_norm,-0.010557985931471735,0.0017332072694309104,122,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,82,S11:EMAi_0.001,-0.012443424861502938,0.0019622659511562587,124,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,83,S11:EMAi_0.01,-0.006163334894039529,0.0007690245697625985,110,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,84,S11:EMAi_0.1,-0.004398074254102579,0.000599773057877663,104,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,85,S11:EMAd_0.001,0.011780723323277653,0.0013179777524682922,35,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,86,S11:EMAd_0.01,0.008133501554573253,0.001666629525049367,44,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,87,S11:EMAd_0.1,-0.013104383575305235,0.0018637897619410747,127,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,88,S12:dR,0.008584763814701735,0.0008832310533889325,42,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,89,S12:dR_norm,-0.011325651100517076,0.0018910986800713223,123,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,90,S12:EMAi_0.001,-0.010392663299016313,0.0006663919732156902,121,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,91,S12:EMAi_0.01,-0.010275677268179384,0.001962575549551652,120,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,92,S12:EMAi_0.1,-0.007564024722571871,0.000813529300768397,114,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,93,S12:EMAd_0.001,-0.0004950061175537313,0.0003591286156143073,83,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,94,S12:EMAd_0.01,0.0003499231685046622,0.0002745675866460192,72,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,95,S12:EMAd_0.1,-0.0034686796082945004,0.0016871459406533759,100,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,96,S13:dR,0.0038585896722229452,0.0021337731175829562,59,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,97,S13:dR_norm,0.010397948356652188,0.000972996489914294,37,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,98,S13:EMAi_0.001,0.013073364289752597,0.0019434396642764365,32,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,99,S13:EMAi_0.01,0.03775768771873724,0.0028183780398084186,2,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,100,S13:EMAi_0.1,0.036461800500079765,0.0038719287898701603,3,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,101,S13:EMAd_0.001,0.0005078589160470437,0.001994662304067033,70,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,102,S13:EMAd_0.01,-0.0005522737302195768,0.001347244153218104,84,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,103,S13:EMAd_0.1,-0.0024913612008780504,0.001937868971678416,94,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,104,S14:dR,0.005979254613299978,0.0008194777018145537,47,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,105,S14:dR_norm,0.012241400762201583,0.0014870829410429307,33,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,106,S14:EMAi_0.001,0.018591815130950595,0.002674671271563857,27,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,107,S14:EMAi_0.01,0.03509581553887191,0.002138120105738705,4,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,108,S14:EMAi_0.1,0.02691144158474278,0.0029721181105258204,15,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,109,S14:EMAd_0.001,0.005387329560528664,0.00041439587470915766,52,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,110,S14:EMAd_0.01,0.005432255290485977,0.0008483923061974388,51,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,111,S14:EMAd_0.1,0.0037798729952634113,0.002571472988574428,60,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,112,S15:dR,-0.013612202194751377,0.0013235843050189802,128,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,113,S15:dR_norm,0.01113470723886143,0.00156132206280366,36,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,114,S15:EMAi_0.001,-0.012447669035304842,0.0021045503025543697,125,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,115,S15:EMAi_0.01,0.02010858481540535,0.0013766575112394619,24,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,116,S15:EMAi_0.1,0.019759862271748297,0.0015868045376430813,25,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,117,S15:EMAd_0.001,0.027857818493541697,0.002464190857709251,13,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,118,S15:EMAd_0.01,0.020546647576182554,0.0020385457647648774,22,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,119,S15:EMAd_0.1,0.008745559908539268,0.0016763209673218195,41,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,120,S16:dR,-0.012999884100663162,0.0015581093724654762,126,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,121,S16:dR_norm,0.015087570225905067,0.0008835263979468092,29,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,122,S16:EMAi_0.001,-0.007815882651893835,0.0010334756614809421,116,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,123,S16:EMAi_0.01,0.02728702045484478,0.0015660679869038282,14,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,124,S16:EMAi_0.1,0.022132926570181934,0.0018316105837783737,21,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,125,S16:EMAd_0.001,0.03249188098723791,0.0025704693154829537,6,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,126,S16:EMAd_0.01,0.028089476967367688,0.0019515064674971454,10,EXECUTED
EXP-XAI-0001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,127,S16:EMAd_0.1,8.582073735218243e-05,7.673954143741594e-05,75,EXECUTED
