experiment_id,model,protocol,test_batch,gas_class,precision,recall,f1,support
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,9,3,0.45454545454545453,1.0,0.625,100
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,9,4,0.0,0.0,0.0,75
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,9,5,0.0,0.0,0.0,78
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,9,6,0.0,0.0,0.0,101
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,10,1,0.25527335342229873,0.9883333333333333,0.4057475196715703,600
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,10,2,0.5991058122205664,0.67,0.6325727773406766,600
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,10,3,0.5850694444444444,0.5616666666666666,0.5731292517006803,600
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,10,4,0.0,0.0,0.0,600
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,10,5,0.8,0.013333333333333334,0.02622950819672131,600
BASE-FIXED-C1-001,MODEL-C1,FIXED_ORIGIN_B1,10,6,0.3684210526315789,0.011666666666666667,0.022617124394184167,600
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,2,1,0.3409090909090909,0.7317073170731707,0.46511627906976744,164
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,2,2,0.9623188405797102,0.9940119760479041,0.9779086892488954,334
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,2,3,0.9615384615384616,1.0,0.9803921568627451,100
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,2,4,0.0,0.0,0.0,109
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,2,5,1.0,0.5958646616541353,0.7467608951707891,532
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,2,6,0.7142857142857143,1.0,0.8333333333333334,5
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,3,1,0.496551724137931,0.9863013698630136,0.6605504587155964,365
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,3,2,0.989406779661017,0.9530612244897959,0.9708939708939709,490
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,3,3,0.8429752066115702,0.9444444444444444,0.8908296943231441,216
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,3,4,0.0,0.0,0.0,240
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,3,5,1.0,0.4218181818181818,0.5933503836317136,275
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,3,6,0.0,0.0,0.0,0
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,4,1,0.5384615384615384,0.65625,0.5915492957746479,64
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,4,2,0.9523809523809523,0.9302325581395349,0.9411764705882353,43
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,4,3,0.2857142857142857,0.8333333333333334,0.425531914893617,12
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,4,4,0.0,0.0,0.0,30
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,4,5,1.0,0.5,0.6666666666666666,12
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,4,6,0.0,0.0,0.0,0
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,5,1,0.20437956204379562,1.0,0.3393939393939394,28
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,5,2,1.0,1.0,1.0,40
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,5,3,1.0,0.85,0.918918918918919,20
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,5,4,0.0,0.0,0.0,46
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,5,5,0.0,0.0,0.0,63
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,5,6,0.0,0.0,0.0,0
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,6,1,0.30668257756563244,1.0,0.4694063926940639,514
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,6,2,1.0,0.8937282229965157,0.9438822447102115,574
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,6,3,0.8648648648648649,0.8727272727272727,0.8687782805429864,110
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,6,4,0.0,0.0,0.0,29
